Date,Team,Visitor_PTS,Home_PTS,Previous_Game_Date,Back_to_Back
2023-10-30,Atlanta Hawks,,127.0,2023-10-29,True
2023-11-15,Atlanta Hawks,,114.0,2023-11-14,True
2023-11-22,Atlanta Hawks,,147.0,2023-11-21,True
2023-11-26,Atlanta Hawks,103.0,,2023-11-25,True
2023-12-16,Atlanta Hawks,119.0,,2023-12-15,True
2023-12-23,Atlanta Hawks,,119.0,2023-12-22,True
2024-01-13,Atlanta Hawks,,99.0,2024-01-12,True
2024-01-20,Atlanta Hawks,,95.0,2024-01-19,True
2024-02-03,Atlanta Hawks,,141.0,2024-02-02,True
2024-02-10,Atlanta Hawks,,122.0,2024-02-09,True
2024-03-06,Atlanta Hawks,,112.0,2024-03-05,True
2024-03-18,Atlanta Hawks,105.0,,2024-03-17,True
2024-03-28,Atlanta Hawks,,123.0,2024-03-27,True
2024-04-04,Atlanta Hawks,95.0,,2024-04-03,True
2024-04-10,Atlanta Hawks,,114.0,2024-04-09,True
2023-11-11,Boston Celtics,,117.0,2023-11-10,True
2023-11-20,Boston Celtics,118.0,,2023-11-19,True
2023-12-15,Boston Celtics,,128.0,2023-12-14,True
2023-12-20,Boston Celtics,144.0,,2023-12-19,True
2023-12-29,Boston Celtics,,120.0,2023-12-28,True
2024-01-06,Boston Celtics,118.0,,2024-01-05,True
2024-01-11,Boston Celtics,102.0,,2024-01-10,True
2024-01-22,Boston Celtics,119.0,,2024-01-21,True
2024-01-30,Boston Celtics,,129.0,2024-01-29,True
2024-02-14,Boston Celtics,,136.0,2024-02-13,True
2024-03-12,Boston Celtics,123.0,,2024-03-11,True
2024-03-18,Boston Celtics,,119.0,2024-03-17,True
2024-03-23,Boston Celtics,124.0,,2024-03-22,True
2024-04-12,Boston Celtics,,131.0,2024-04-11,True
2023-11-04,Brooklyn Nets,,114.0,2023-11-03,True
2023-11-26,Brooklyn Nets,,118.0,2023-11-25,True
2023-12-14,Brooklyn Nets,101.0,,2023-12-13,True
2023-12-23,Brooklyn Nets,,126.0,2023-12-22,True
2023-12-27,Brooklyn Nets,,122.0,2023-12-26,True
2024-01-03,Brooklyn Nets,101.0,,2024-01-02,True
2024-02-06,Brooklyn Nets,,107.0,2024-02-05,True
2024-02-14,Brooklyn Nets,86.0,,2024-02-13,True
2024-02-27,Brooklyn Nets,81.0,,2024-02-26,True
2024-03-05,Brooklyn Nets,,112.0,2024-03-04,True
2024-03-10,Brooklyn Nets,120.0,,2024-03-09,True
2024-03-17,Brooklyn Nets,115.0,,2024-03-16,True
2024-04-01,Brooklyn Nets,111.0,,2024-03-31,True
2024-04-07,Brooklyn Nets,,77.0,2024-04-06,True
2023-11-05,Charlotte Hornets,118.0,,2023-11-04,True
2023-11-18,Charlotte Hornets,,108.0,2023-11-17,True
2023-12-16,Charlotte Hornets,,82.0,2023-12-15,True
2023-12-29,Charlotte Hornets,119.0,,2023-12-28,True
2024-01-02,Charlotte Hornets,111.0,,2024-01-01,True
2024-01-20,Charlotte Hornets,,89.0,2024-01-19,True
2024-01-27,Charlotte Hornets,,122.0,2024-01-26,True
2024-02-05,Charlotte Hornets,,118.0,2024-02-04,True
2024-02-10,Charlotte Hornets,,115.0,2024-02-09,True
2024-02-23,Charlotte Hornets,84.0,,2024-02-22,True
2024-03-01,Charlotte Hornets,114.0,,2024-02-29,True
2024-03-09,Charlotte Hornets,,110.0,2024-03-08,True
2024-03-16,Charlotte Hornets,98.0,,2024-03-15,True
2024-04-01,Charlotte Hornets,,104.0,2024-03-31,True
2024-04-10,Charlotte Hornets,115.0,,2024-04-09,True
2023-10-28,Chicago Bulls,102.0,,2023-10-27,True
2023-11-04,Chicago Bulls,101.0,,2023-11-03,True
2023-11-13,Chicago Bulls,109.0,,2023-11-12,True
2023-11-18,Chicago Bulls,,102.0,2023-11-17,True
2023-12-12,Chicago Bulls,,106.0,2023-12-11,True
2023-12-21,Chicago Bulls,,114.0,2023-12-20,True
2024-01-03,Chicago Bulls,100.0,,2024-01-02,True
2024-01-13,Chicago Bulls,122.0,,2024-01-12,True
2024-01-31,Chicago Bulls,117.0,,2024-01-30,True
2024-02-28,Chicago Bulls,,132.0,2024-02-27,True
2024-03-07,Chicago Bulls,125.0,,2024-03-06,True
2024-03-14,Chicago Bulls,,111.0,2024-03-13,True
2024-04-01,Chicago Bulls,,101.0,2024-03-31,True
2024-04-12,Chicago Bulls,129.0,,2024-04-11,True
2023-10-28,Cleveland Cavaliers,,113.0,2023-10-27,True
2023-11-01,Cleveland Cavaliers,95.0,,2023-10-31,True
2023-11-22,Cleveland Cavaliers,,96.0,2023-11-21,True
2023-11-26,Cleveland Cavaliers,,105.0,2023-11-25,True
2023-12-12,Cleveland Cavaliers,113.0,,2023-12-11,True
2023-12-21,Cleveland Cavaliers,,104.0,2023-12-20,True
2024-02-01,Cleveland Cavaliers,108.0,,2024-01-31,True
2024-02-08,Cleveland Cavaliers,118.0,,2024-02-07,True
2024-02-23,Cleveland Cavaliers,97.0,,2024-02-22,True
