PLAYER NAME,DATE,MIN,PTS,REB,TOV,PREV_DATE_DIFF
Aaron Gordon,2023-10-29,23,9,3,1.0,1.0
Aaron Gordon,2023-11-03,35,18,8,4.0,1.0
Aaron Gordon,2023-11-19,32,11,4,1.0,1.0
Aaron Gordon,2023-12-11,29,18,12,2.0,1.0
Aaron Gordon,2023-12-22,32,18,5,1.0,1.0
Aaron Gordon,2024-01-04,35,30,9,0.0,1.0
Aaron Gordon,2024-02-08,32,11,4,1.0,1.0
Aaron Gordon,2024-02-22,21,17,2,3.0,1.0
Aaron Gordon,2024-02-28,24,17,6,0.0,1.0
Amen Thompson,2023-12-22,22,9,6,3.0,1.0
Amen Thompson,2023-12-26,12,7,4,1.0,1.0
Amen Thompson,2024-01-05,20,6,6,2.0,1.0
Amen Thompson,2024-01-12,8,2,1,0.0,1.0
Amen Thompson,2024-01-20,18,6,8,0.0,1.0
Amen Thompson,2024-01-26,23,13,6,1.0,1.0
Amen Thompson,2024-02-09,32,8,9,6.0,1.0
Amen Thompson,2024-02-22,28,22,5,3.0,1.0
Amen Thompson,2024-03-05,19,2,6,1.0,1.0
Amen Thompson,2024-04-11,35,15,10,1.0,1.0
Andre Drummond,2023-10-27,12,8,2,2.0,1.0
Andre Drummond,2023-11-03,12,7,4,1.0,1.0
Andre Drummond,2023-11-12,15,11,13,1.0,1.0
Andre Drummond,2023-11-17,18,5,6,2.0,1.0
Andre Drummond,2023-12-11,14,9,16,0.0,1.0
Andre Drummond,2023-12-20,16,11,7,2.0,1.0
Andre Drummond,2024-01-02,28,11,17,2.0,1.0
Andre Drummond,2024-01-12,12,5,4,0.0,1.0
Andre Drummond,2024-01-30,14,7,7,0.0,1.0
Andre Drummond,2024-02-27,28,20,11,1.0,1.0
Andre Drummond,2024-03-06,17,10,6,0.0,1.0
Andre Drummond,2024-03-13,10,3,4,1.0,1.0
Andre Drummond,2024-03-31,17,6,9,0.0,1.0
Anthony Davis,2023-10-29,42,30,16,0.0,1.0
Anthony Davis,2023-11-14,27,19,11,2.0,1.0
Anthony Davis,2023-11-21,29,26,16,2.0,1.0
Anthony Davis,2023-11-29,29,28,16,0.0,1.0
Anthony Davis,2023-12-12,37,37,11,2.0,1.0
Anthony Davis,2023-12-20,38,19,14,1.0,1.0
