PLAYER NAME,DATE,MIN,PTS,REB,TOV
Aaron Gordon,2023-10-29,23,9,3,1.0
Aaron Gordon,2023-10-30,33,21,7,3.0
Aaron Gordon,2023-11-03,35,18,8,4.0
Aaron Gordon,2023-11-04,35,15,12,3.0
Aaron Gordon,2023-11-19,32,11,4,1.0
Aaron Gordon,2023-11-20,37,11,9,2.0
Aaron Gordon,2023-12-11,29,18,12,2.0
Aaron Gordon,2023-12-12,32,14,7,0.0
Aaron Gordon,2023-12-22,32,18,5,1.0
Aaron Gordon,2023-12-23,32,14,2,2.0
Aaron Gordon,2024-01-04,35,30,9,0.0
Aaron Gordon,2024-01-05,36,16,8,1.0
Aaron Gordon,2024-02-08,32,11,4,1.0
Aaron Gordon,2024-02-09,27,14,3,2.0
Aaron Gordon,2024-02-22,21,17,2,3.0
Aaron Gordon,2024-02-23,28,8,2,3.0
Aaron Gordon,2024-02-28,24,17,6,0.0
Aaron Gordon,2024-02-29,37,16,9,4.0
Amen Thompson,2023-12-22,22,9,6,3.0
Amen Thompson,2023-12-23,10,2,0,0.0
Amen Thompson,2023-12-26,12,7,4,1.0
Amen Thompson,2023-12-27,17,2,4,0.0
Amen Thompson,2024-01-05,20,6,6,2.0
Amen Thompson,2024-01-06,16,4,3,1.0
Amen Thompson,2024-01-12,8,2,1,0.0
Amen Thompson,2024-01-13,25,10,10,4.0
Amen Thompson,2024-01-20,18,6,8,0.0
Amen Thompson,2024-01-21,32,15,14,2.0
Amen Thompson,2024-01-26,23,13,6,1.0
Amen Thompson,2024-01-27,15,5,4,2.0
Amen Thompson,2024-02-09,32,8,9,6.0
Amen Thompson,2024-02-10,33,12,11,2.0
Amen Thompson,2024-02-22,28,22,5,3.0
Amen Thompson,2024-02-23,33,15,10,0.0
Amen Thompson,2024-03-05,19,2,6,1.0
Amen Thompson,2024-03-06,18,6,3,0.0
Amen Thompson,2024-04-11,35,15,10,1.0
Amen Thompson,2024-04-12,35,17,15,2.0
Andre Drummond,2023-10-27,12,8,2,2.0
Andre Drummond,2023-10-28,14,2,5,0.0
Andre Drummond,2023-11-03,12,7,4,1.0
Andre Drummond,2023-11-04,15,5,11,0.0
Andre Drummond,2023-11-12,15,11,13,1.0
Andre Drummond,2023-11-13,12,4,3,1.0
Andre Drummond,2023-11-17,18,5,6,2.0
Andre Drummond,2023-11-18,15,6,9,1.0
Andre Drummond,2023-12-11,14,9,16,0.0
Andre Drummond,2023-12-12,14,8,4,1.0
Andre Drummond,2023-12-20,16,11,7,2.0
Andre Drummond,2023-12-21,19,12,8,1.0
Andre Drummond,2024-01-02,28,11,17,2.0
Andre Drummond,2024-01-03,30,13,16,1.0
Andre Drummond,2024-01-12,12,5,4,0.0
Andre Drummond,2024-01-13,17,7,10,0.0
Andre Drummond,2024-01-30,14,7,7,0.0
Andre Drummond,2024-01-31,15,10,8,0.0
Andre Drummond,2024-02-27,28,20,11,1.0
Andre Drummond,2024-02-28,36,17,26,3.0
Andre Drummond,2024-03-06,17,10,6,0.0
Andre Drummond,2024-03-07,13,1,7,2.0
Andre Drummond,2024-03-13,10,3,4,1.0
Andre Drummond,2024-03-14,16,15,7,0.0
Andre Drummond,2024-03-31,17,6,9,0.0
Andre Drummond,2024-04-01,20,13,18,1.0
Anthony Davis,2023-10-29,42,30,16,0.0
Anthony Davis,2023-10-30,38,26,19,1.0
Anthony Davis,2023-11-14,27,19,11,2.0
Anthony Davis,2023-11-15,35,9,9,5.0
Anthony Davis,2023-11-21,29,26,16,2.0
Anthony Davis,2023-11-22,36,10,13,3.0
Anthony Davis,2023-11-29,29,28,16,0.0
Anthony Davis,2023-11-30,36,31,14,0.0
Anthony Davis,2023-12-12,37,37,11,2.0
Anthony Davis,2023-12-13,38,37,10,2.0
Anthony Davis,2023-12-20,38,19,14,1.0
Anthony Davis,2023-12-21,39,31,8,1.0
Anthony Davis,2023-12-30,39,33,17,2.0
Anthony Davis,2023-12-31,35,20,10,3.0
Anthony Davis,2024-02-08,38,32,9,1.0
Anthony Davis,2024-02-09,29,20,6,3.0
Anthony Davis,2024-02-13,28,20,14,1.0
Anthony Davis,2024-02-14,38,37,15,2.0
Anthony Davis,2024-02-22,33,27,15,3.0
Anthony Davis,2024-02-23,29,28,13,1.0
Anthony Davis,2024-02-28,36,20,12,2.0
Anthony Davis,2024-02-29,41,40,15,1.0
Anthony Davis,2024-04-02,28,21,12,5.0
Anthony Davis,2024-04-03,38,35,18,2.0
Anthony Davis,2024-04-06,36,22,13,0.0
Anthony Davis,2024-04-07,12,4,4,1.0
Anthony Edwards,2023-11-14,36,20,4,5.0
Anthony Edwards,2023-11-15,31,13,4,1.0
Anthony Edwards,2023-12-20,36,27,7,1.0
Anthony Edwards,2023-12-21,38,27,7,5.0
Anthony Edwards,2024-01-09,26,6,4,5.0
Anthony Edwards,2024-01-10,46,29,6,5.0
Anthony Edwards,2024-01-17,33,27,5,3.0
Anthony Edwards,2024-01-18,34,28,5,3.0
Anthony Edwards,2024-01-24,34,38,3,4.0
Anthony Edwards,2024-01-25,36,24,1,3.0
Anthony Edwards,2024-02-12,32,23,7,1.0
Anthony Edwards,2024-02-13,34,41,4,2.0
Anthony Edwards,2024-02-23,38,28,9,3.0
Anthony Edwards,2024-02-24,38,29,8,1.0
Anthony Edwards,2024-02-27,33,34,5,4.0
Anthony Edwards,2024-02-28,40,34,2,3.0
Anthony Edwards,2024-03-03,37,27,5,3.0
Anthony Edwards,2024-03-04,35,13,4,2.0
Anthony Edwards,2024-03-07,39,44,6,0.0
Anthony Edwards,2024-03-08,42,19,5,5.0
Anthony Edwards,2024-03-18,38,32,7,3.0
Anthony Edwards,2024-03-19,38,30,8,3.0
Anthony Edwards,2024-04-02,36,21,5,3.0
Anthony Edwards,2024-04-03,30,28,3,0.0
Anthony Edwards,2024-04-09,38,51,6,2.0
Anthony Edwards,2024-04-10,35,25,2,1.0
Ausar Thompson,2023-10-27,30,6,13,3.0
Ausar Thompson,2023-10-28,31,9,12,2.0
Ausar Thompson,2023-11-01,30,16,7,2.0
Ausar Thompson,2023-11-02,25,16,7,3.0
Ausar Thompson,2023-11-05,38,14,9,1.0
Ausar Thompson,2023-11-06,38,16,7,1.0
Ausar Thompson,2023-11-19,30,9,10,5.0
Ausar Thompson,2023-11-20,24,8,7,0.0
Ausar Thompson,2023-11-29,21,12,6,0.0
Ausar Thompson,2023-11-30,13,3,7,3.0
Ausar Thompson,2023-12-15,22,8,3,1.0
Ausar Thompson,2023-12-16,24,7,6,0.0
Ausar Thompson,2024-02-07,27,12,6,2.0
Ausar Thompson,2024-02-08,29,6,5,0.0
Ausar Thompson,2024-02-13,29,19,2,1.0
Ausar Thompson,2024-02-14,29,14,7,0.0
Ausar Thompson,2024-02-26,36,7,4,4.0
Ausar Thompson,2024-02-27,35,13,8,1.0
Austin Reaves,2023-10-29,28,5,2,3.0
Austin Reaves,2023-10-30,31,11,3,3.0
Austin Reaves,2023-11-14,29,16,12,3.0
Austin Reaves,2023-11-15,34,9,11,4.0
Austin Reaves,2023-11-21,26,19,5,2.0
Austin Reaves,2023-11-22,31,17,6,2.0
Austin Reaves,2023-11-29,24,6,3,2.0
Austin Reaves,2023-11-30,29,14,2,2.0
Austin Reaves,2023-12-12,32,22,5,3.0
Austin Reaves,2023-12-13,29,15,4,1.0
Austin Reaves,2023-12-20,28,21,0,3.0
Austin Reaves,2023-12-21,27,20,8,4.0
Austin Reaves,2023-12-30,29,9,2,1.0
Austin Reaves,2023-12-31,36,20,2,0.0
Austin Reaves,2024-01-29,30,8,3,2.0
Austin Reaves,2024-01-30,32,28,0,2.0
Austin Reaves,2024-02-08,36,15,2,1.0
Austin Reaves,2024-02-09,31,27,2,0.0
Austin Reaves,2024-02-13,32,15,7,2.0
Austin Reaves,2024-02-14,34,22,4,3.0
Austin Reaves,2024-02-22,27,16,2,2.0
Austin Reaves,2024-02-23,33,10,5,5.0
Austin Reaves,2024-02-28,36,13,8,1.0
Austin Reaves,2024-02-29,39,12,6,1.0
Austin Reaves,2024-03-26,48,29,14,1.0
Austin Reaves,2024-03-27,35,13,2,2.0
Austin Reaves,2024-04-02,25,7,4,1.0
Austin Reaves,2024-04-03,35,16,4,1.0
Austin Reaves,2024-04-06,33,7,2,3.0
Austin Reaves,2024-04-07,35,14,3,4.0
Bam Adebayo,2023-10-27,35,27,7,3.0
Bam Adebayo,2023-10-28,33,19,3,4.0
Bam Adebayo,2023-11-11,39,26,17,3.0
Bam Adebayo,2023-11-12,34,24,11,0.0
Bam Adebayo,2024-01-14,35,24,10,2.0
Bam Adebayo,2024-01-15,44,11,20,2.0
Bam Adebayo,2024-01-24,40,15,15,0.0
Bam Adebayo,2024-01-25,29,19,5,0.0
Bam Adebayo,2024-02-06,30,14,8,3.0
Bam Adebayo,2024-02-07,29,20,5,1.0
Bam Adebayo,2024-02-13,31,16,12,3.0
Bam Adebayo,2024-02-14,39,23,13,2.0
Bam Adebayo,2024-02-26,36,28,10,5.0
Bam Adebayo,2024-02-27,34,13,9,6.0
Bam Adebayo,2024-03-07,37,14,9,1.0
Bam Adebayo,2024-03-08,31,5,10,4.0
Bam Adebayo,2024-03-17,38,20,17,3.0
Bam Adebayo,2024-03-18,32,20,13,4.0
Bam Adebayo,2024-04-04,29,14,11,2.0
Bam Adebayo,2024-04-05,33,18,12,1.0
Bam Adebayo,2024-04-09,48,10,7,5.0
Bam Adebayo,2024-04-10,30,8,3,0.0
Bobby Portis,2023-10-29,21,12,4,3.0
Bobby Portis,2023-10-30,19,16,8,0.0
Bobby Portis,2023-11-08,23,18,5,2.0
Bobby Portis,2023-11-09,24,11,8,3.0
Bobby Portis,2023-11-17,30,13,7,3.0
Bobby Portis,2023-11-18,22,11,7,0.0
