PLAYER NAME,DATE,MIN,PTS,REB,TOV
Aaron Gordon,2023-10-30,33,21,7,3.0
Aaron Gordon,2023-11-04,35,15,12,3.0
Aaron Gordon,2023-11-20,37,11,9,2.0
Aaron Gordon,2023-12-12,32,14,7,0.0
Aaron Gordon,2023-12-23,32,14,2,2.0
Aaron Gordon,2024-01-05,36,16,8,1.0
Aaron Gordon,2024-02-09,27,14,3,2.0
Aaron Gordon,2024-02-23,28,8,2,3.0
Aaron Gordon,2024-02-29,37,16,9,4.0
Amen Thompson,2023-12-23,10,2,0,0.0
Amen Thompson,2023-12-27,17,2,4,0.0
Amen Thompson,2024-01-06,16,4,3,1.0
Amen Thompson,2024-01-13,25,10,10,4.0
Amen Thompson,2024-01-21,32,15,14,2.0
Amen Thompson,2024-01-27,15,5,4,2.0
Amen Thompson,2024-02-10,33,12,11,2.0
Amen Thompson,2024-02-23,33,15,10,0.0
Amen Thompson,2024-03-06,18,6,3,0.0
Amen Thompson,2024-04-12,35,17,15,2.0
Andre Drummond,2023-10-28,14,2,5,0.0
Andre Drummond,2023-11-04,15,5,11,0.0
Andre Drummond,2023-11-13,12,4,3,1.0
Andre Drummond,2023-11-18,15,6,9,1.0
Andre Drummond,2023-12-12,14,8,4,1.0
Andre Drummond,2023-12-21,19,12,8,1.0
Andre Drummond,2024-01-03,30,13,16,1.0
Andre Drummond,2024-01-13,17,7,10,0.0
Andre Drummond,2024-01-31,15,10,8,0.0
Andre Drummond,2024-02-28,36,17,26,3.0
Andre Drummond,2024-03-07,13,1,7,2.0
Andre Drummond,2024-03-14,16,15,7,0.0
Andre Drummond,2024-04-01,20,13,18,1.0
Anthony Davis,2023-10-30,38,26,19,1.0
Anthony Davis,2023-11-15,35,9,9,5.0
Anthony Davis,2023-11-22,36,10,13,3.0
Anthony Davis,2023-11-30,36,31,14,0.0
Anthony Davis,2023-12-13,38,37,10,2.0
Anthony Davis,2023-12-21,39,31,8,1.0
Anthony Davis,2023-12-31,35,20,10,3.0
Anthony Davis,2024-02-09,29,20,6,3.0
Anthony Davis,2024-02-14,38,37,15,2.0
Anthony Davis,2024-02-23,29,28,13,1.0
Anthony Davis,2024-02-29,41,40,15,1.0
Anthony Davis,2024-04-03,38,35,18,2.0
Anthony Davis,2024-04-07,12,4,4,1.0
Anthony Edwards,2023-11-15,31,13,4,1.0
Anthony Edwards,2023-12-21,38,27,7,5.0
Anthony Edwards,2024-01-10,46,29,6,5.0
Anthony Edwards,2024-01-18,34,28,5,3.0
Anthony Edwards,2024-01-25,36,24,1,3.0
Anthony Edwards,2024-02-13,34,41,4,2.0
Anthony Edwards,2024-02-24,38,29,8,1.0
Anthony Edwards,2024-02-28,40,34,2,3.0
Anthony Edwards,2024-03-04,35,13,4,2.0
Anthony Edwards,2024-03-08,42,19,5,5.0
Anthony Edwards,2024-03-19,38,30,8,3.0
Anthony Edwards,2024-04-03,30,28,3,0.0
Anthony Edwards,2024-04-10,35,25,2,1.0
Ausar Thompson,2023-10-28,31,9,12,2.0
Ausar Thompson,2023-11-02,25,16,7,3.0
Ausar Thompson,2023-11-06,38,16,7,1.0
Ausar Thompson,2023-11-20,24,8,7,0.0
Ausar Thompson,2023-11-30,13,3,7,3.0
Ausar Thompson,2023-12-16,24,7,6,0.0
Ausar Thompson,2024-02-08,29,6,5,0.0
Ausar Thompson,2024-02-14,29,14,7,0.0
Ausar Thompson,2024-02-27,35,13,8,1.0
Austin Reaves,2023-10-30,31,11,3,3.0
Austin Reaves,2023-11-15,34,9,11,4.0
Austin Reaves,2023-11-22,31,17,6,2.0
Austin Reaves,2023-11-30,29,14,2,2.0
Austin Reaves,2023-12-13,29,15,4,1.0
Austin Reaves,2023-12-21,27,20,8,4.0
Austin Reaves,2023-12-31,36,20,2,0.0
Austin Reaves,2024-01-30,32,28,0,2.0
Austin Reaves,2024-02-09,31,27,2,0.0
Austin Reaves,2024-02-14,34,22,4,3.0
Austin Reaves,2024-02-23,33,10,5,5.0
Austin Reaves,2024-02-29,39,12,6,1.0
Austin Reaves,2024-03-27,35,13,2,2.0
Austin Reaves,2024-04-03,35,16,4,1.0
Austin Reaves,2024-04-07,35,14,3,4.0
Bam Adebayo,2023-10-28,33,19,3,4.0
Bam Adebayo,2023-11-12,34,24,11,0.0
Bam Adebayo,2024-01-15,44,11,20,2.0
Bam Adebayo,2024-01-25,29,19,5,0.0
Bam Adebayo,2024-02-07,29,20,5,1.0
Bam Adebayo,2024-02-14,39,23,13,2.0
Bam Adebayo,2024-02-27,34,13,9,6.0
Bam Adebayo,2024-03-08,31,5,10,4.0
Bam Adebayo,2024-03-18,32,20,13,4.0
Bam Adebayo,2024-04-05,33,18,12,1.0
Bam Adebayo,2024-04-10,30,8,3,0.0
Bobby Portis,2023-10-30,19,16,8,0.0
Bobby Portis,2023-11-09,24,11,8,3.0
Bobby Portis,2023-11-18,22,11,7,0.0
Bobby Portis,2023-12-17,25,11,6,0.0
Bobby Portis,2024-01-04,21,5,4,2.0
Bobby Portis,2024-01-14,26,22,10,2.0
Bobby Portis,2024-01-27,22,20,7,1.0
Bobby Portis,2024-02-04,36,27,7,1.0
Bobby Portis,2024-02-09,21,18,7,1.0
Bobby Portis,2024-02-13,26,16,4,0.0
Bobby Portis,2024-03-01,26,11,9,0.0
Bobby Portis,2024-03-21,30,6,9,0.0
Bobby Portis,2024-04-03,28,19,7,0.0
Bobby Portis,2024-04-10,30,30,9,4.0
Brandon Ingram,2023-11-18,34,30,7,4.0
Brandon Ingram,2023-11-25,37,26,6,1.0
Brandon Ingram,2023-12-02,36,23,6,2.0
Brandon Ingram,2024-01-03,32,19,4,3.0
Brandon Ingram,2024-01-27,28,26,6,1.0
Brandon Ingram,2024-02-10,36,17,4,5.0
Brandon Ingram,2024-02-28,29,30,6,1.0
Brandon Ingram,2024-03-16,35,22,7,1.0
CJ McCollum,2023-11-04,37,43,2,3.0
CJ McCollum,2023-11-09,38,29,6,2.0
CJ McCollum,2023-11-22,34,33,3,3.0
CJ McCollum,2023-12-21,38,17,4,4.0
CJ McCollum,2024-01-06,35,17,6,4.0
CJ McCollum,2024-02-02,22,14,3,5.0
CJ McCollum,2024-02-26,32,9,0,1.0
CJ McCollum,2024-03-13,38,17,3,2.0
CJ McCollum,2024-03-25,31,21,1,3.0
Cade Cunningham,2023-10-28,40,25,4,6.0
Cade Cunningham,2023-11-02,34,22,2,6.0
Cade Cunningham,2023-11-06,40,21,4,5.0
Cade Cunningham,2023-11-20,38,27,2,5.0
Cade Cunningham,2023-11-30,37,31,2,7.0
Cade Cunningham,2023-12-16,31,25,1,2.0
Cade Cunningham,2024-02-14,26,13,4,5.0
Cade Cunningham,2024-02-27,36,26,5,3.0
Cam Thomas,2023-11-04,37,27,5,0.0
Cam Thomas,2023-12-14,27,13,3,0.0
Cam Thomas,2023-12-23,28,20,2,2.0
Cam Thomas,2023-12-27,12,8,0,0.0
Cam Thomas,2024-01-03,17,4,0,1.0
Cam Thomas,2024-02-06,37,16,8,2.0
Cam Thomas,2024-02-14,25,5,1,1.0
Cam Thomas,2024-03-10,31,29,7,1.0
Cam Thomas,2024-03-17,39,31,3,0.0
Cam Thomas,2024-04-01,29,22,1,1.0
Cam Thomas,2024-04-07,36,21,4,4.0
Chet Holmgren,2023-10-30,24,14,4,3.0
Chet Holmgren,2023-11-19,20,16,6,0.0
Chet Holmgren,2023-12-27,30,22,5,0.0
Chet Holmgren,2024-01-03,25,12,3,4.0
Chet Holmgren,2024-01-11,20,19,4,0.0
Chet Holmgren,2024-01-16,33,8,5,1.0
Chet Holmgren,2024-01-24,30,17,9,3.0
Chet Holmgren,2024-01-29,32,4,7,2.0
Chet Holmgren,2024-02-11,31,14,4,2.0
Chet Holmgren,2024-02-23,23,25,10,3.0
Chet Holmgren,2024-03-04,28,15,7,0.0
Chet Holmgren,2024-03-27,18,2,7,5.0
Chet Holmgren,2024-04-03,27,11,7,1.0
Chet Holmgren,2024-04-10,15,9,6,0.0
Clint Capela,2023-10-30,23,2,5,1.0
Clint Capela,2023-11-15,26,8,3,0.0
Clint Capela,2023-11-22,27,14,15,0.0
Clint Capela,2023-11-26,21,4,8,1.0
Clint Capela,2023-12-23,30,20,12,1.0
Clint Capela,2024-01-13,24,4,8,0.0
Clint Capela,2024-01-20,22,6,9,2.0
Clint Capela,2024-02-03,25,17,15,1.0
Clint Capela,2024-03-06,23,8,9,0.0
Clint Capela,2024-03-18,20,10,9,1.0
Clint Capela,2024-03-28,33,12,13,2.0
Clint Capela,2024-04-04,29,6,13,5.0
Clint Capela,2024-04-10,21,15,6,0.0
Coby White,2023-10-28,28,0,2,1.0
Coby White,2023-11-04,31,11,2,2.0
Coby White,2023-11-13,26,16,3,1.0
Coby White,2023-11-18,29,14,3,3.0
Coby White,2023-12-12,35,27,4,2.0
Coby White,2023-12-21,36,22,6,3.0
Coby White,2024-01-03,38,26,4,3.0
Coby White,2024-01-13,32,15,2,0.0
Coby White,2024-01-31,43,35,7,3.0
Coby White,2024-02-28,50,14,8,3.0
Coby White,2024-03-07,37,20,4,2.0
Coby White,2024-04-01,39,22,3,1.0
Coby White,2024-04-12,27,20,4,1.0
Collin Sexton,2023-10-28,23,14,2,2.0
Collin Sexton,2023-11-22,11,1,2,2.0
Collin Sexton,2023-11-30,23,14,3,3.0
Collin Sexton,2023-12-14,32,27,2,2.0
Collin Sexton,2023-12-21,32,19,4,3.0
Collin Sexton,2024-01-06,27,22,3,5.0
Collin Sexton,2024-01-13,28,27,4,1.0
Collin Sexton,2024-01-30,28,22,3,2.0
Collin Sexton,2024-02-15,34,35,3,3.0
Collin Sexton,2024-03-16,31,22,2,5.0
Collin Sexton,2024-03-21,34,20,4,3.0
D'Angelo Russell,2023-10-30,36,28,2,3.0
D'Angelo Russell,2023-11-15,35,28,5,2.0
D'Angelo Russell,2023-11-22,24,15,3,1.0
D'Angelo Russell,2023-11-30,32,16,3,2.0
D'Angelo Russell,2023-12-13,33,12,3,3.0
D'Angelo Russell,2023-12-21,38,17,4,4.0
D'Angelo Russell,2024-01-30,27,9,1,2.0
D'Angelo Russell,2024-02-14,33,11,9,2.0
D'Angelo Russell,2024-02-23,35,22,3,1.0
D'Angelo Russell,2024-02-29,44,22,6,3.0
D'Angelo Russell,2024-03-27,29,23,2,4.0
D'Angelo Russell,2024-04-03,38,18,3,2.0
D'Angelo Russell,2024-04-07,39,15,7,1.0
Damian Lillard,2023-10-30,35,25,5,4.0
Damian Lillard,2023-11-18,38,27,3,1.0
Damian Lillard,2023-12-17,37,39,5,3.0
Damian Lillard,2024-01-04,39,25,4,0.0
Damian Lillard,2024-01-14,41,29,4,4.0
Damian Lillard,2024-01-27,29,26,6,0.0
Damian Lillard,2024-02-04,38,12,0,3.0
Damian Lillard,2024-02-13,32,16,2,3.0
Damian Lillard,2024-03-01,33,16,3,3.0
Damian Lillard,2024-03-21,37,30,3,4.0
Damian Lillard,2024-04-10,34,29,6,4.0
Daniel Gafford,2023-11-13,26,14,9,2.0
Daniel Gafford,2023-11-25,18,12,4,0.0
Daniel Gafford,2023-12-18,25,8,5,0.0
Daniel Gafford,2023-12-22,23,15,4,1.0
Daniel Gafford,2023-12-27,30,12,8,0.0
Daniel Gafford,2024-01-06,31,6,12,1.0
Daniel Gafford,2024-01-25,31,13,9,0.0
Daniel Gafford,2024-02-28,25,13,7,4.0
Daniel Gafford,2024-03-14,26,19,15,2.0
Daniel Gafford,2024-03-26,22,10,4,1.0
Daniel Gafford,2024-04-05,31,10,15,2.0
Daniel Gafford,2024-04-10,26,12,5,0.0
Day'Ron Sharpe,2023-11-04,17,11,7,2.0
Day'Ron Sharpe,2023-11-26,27,9,9,1.0
Day'Ron Sharpe,2023-12-14,26,8,13,3.0
Day'Ron Sharpe,2023-12-23,18,11,3,1.0
Day'Ron Sharpe,2023-12-27,16,12,4,0.0
Day'Ron Sharpe,2024-01-03,20,11,12,1.0
Day'Ron Sharpe,2024-02-14,13,7,3,2.0
Day'Ron Sharpe,2024-02-27,14,4,6,0.0
Day'Ron Sharpe,2024-03-10,17,4,3,0.0
Day'Ron Sharpe,2024-03-17,19,15,3,1.0
Day'Ron Sharpe,2024-04-01,13,6,11,2.0
Day'Ron Sharpe,2024-04-07,24,4,4,1.0
De'Aaron Fox,2023-11-20,29,14,2,2.0
De'Aaron Fox,2023-11-29,38,40,5,4.0
De'Aaron Fox,2023-12-12,25,14,3,4.0
De'Aaron Fox,2023-12-23,39,27,4,3.0
De'Aaron Fox,2024-01-03,44,15,4,3.0
De'Aaron Fox,2024-01-10,28,19,1,1.0
De'Aaron Fox,2024-02-03,35,41,4,3.0
De'Aaron Fox,2024-02-14,43,30,8,1.0
De'Aaron Fox,2024-02-26,39,27,8,7.0
De'Aaron Fox,2024-03-07,35,33,5,1.0
De'Aaron Fox,2024-03-13,35,21,4,2.0
De'Aaron Fox,2024-03-21,37,25,5,3.0
De'Aaron Fox,2024-03-26,32,18,5,3.0
De'Aaron Fox,2024-04-05,44,40,4,1.0
De'Aaron Fox,2024-04-12,41,23,5,2.0
DeMar DeRozan,2023-10-28,32,20,2,1.0
DeMar DeRozan,2023-11-04,34,17,3,0.0
DeMar DeRozan,2023-11-13,37,11,4,1.0
DeMar DeRozan,2023-11-18,40,23,4,3.0
DeMar DeRozan,2023-12-12,37,14,4,0.0
DeMar DeRozan,2023-12-21,36,21,4,0.0
DeMar DeRozan,2024-01-03,39,28,3,0.0
DeMar DeRozan,2024-01-13,34,20,4,0.0
DeMar DeRozan,2024-01-31,38,15,4,2.0
DeMar DeRozan,2024-02-28,49,35,10,0.0
DeMar DeRozan,2024-03-07,39,33,8,1.0
DeMar DeRozan,2024-03-14,36,21,5,5.0
DeMar DeRozan,2024-04-01,39,31,2,3.0
Dejounte Murray,2023-10-30,39,41,7,3.0
Dejounte Murray,2023-11-15,32,13,5,1.0
Dejounte Murray,2023-11-22,39,20,6,1.0
Dejounte Murray,2023-11-26,34,6,4,3.0
Dejounte Murray,2023-12-16,37,21,3,0.0
Dejounte Murray,2023-12-23,35,26,4,3.0
Dejounte Murray,2024-01-13,31,13,5,2.0
Dejounte Murray,2024-01-20,35,24,9,2.0
Dejounte Murray,2024-02-03,41,19,5,2.0
Dejounte Murray,2024-03-06,39,18,2,3.0
Dejounte Murray,2024-03-18,31,13,5,2.0
Dejounte Murray,2024-03-28,47,44,7,3.0
Dejounte Murray,2024-04-04,35,16,5,4.0
Deni Avdija,2023-11-13,30,9,8,4.0
Deni Avdija,2023-11-25,17,9,6,3.0
Deni Avdija,2023-12-18,23,9,5,2.0
Deni Avdija,2023-12-22,20,7,4,0.0
Deni Avdija,2023-12-27,24,12,2,0.0
Deni Avdija,2024-01-06,33,23,10,4.0
Deni Avdija,2024-01-21,18,4,8,2.0
Deni Avdija,2024-01-25,27,13,6,3.0
Deni Avdija,2024-02-10,39,21,13,5.0
Deni Avdija,2024-03-01,26,14,5,2.0
Deni Avdija,2024-04-03,22,7,2,2.0
Devin Booker,2023-11-22,31,25,8,3.0
