PLAYER NAME,DATE,MIN,PTS,REB,TOV
Luka Dončić,"Wed
4/10",36,29,9,3.0
Luka Dončić,"Tue
4/9",35,39,12,4.0
Luka Dončić,"Sun
4/7",45,37,9,7.0
Luka Dončić,"Thu
4/4",37,25,12,5.0
Luka Dončić,"Tue
4/2",39,30,12,5.0
Luka Dončić,"Sun
3/31",35,47,12,4.0
Luka Dončić,"Fri
3/29",41,26,9,5.0
Luka Dončić,"Tue
3/26",32,28,11,4.0
Luka Dončić,"Mon
3/25",41,29,12,4.0
Luka Dončić,"Thu
3/21",35,34,9,4.0
Luka Dončić,"Tue
3/19",40,18,10,4.0
Luka Dončić,"Sun
3/17",40,37,10,3.0
Luka Dončić,"Wed
3/13",30,21,3,6.0
Luka Dončić,"Mon
3/11",34,27,12,2.0
Luka Dončić,"Sat
3/9",37,39,10,6.0
Luka Dončić,"Thu
3/7",40,35,11,4.0
Luka Dončić,"Tue
3/5",43,39,10,5.0
Luka Dončić,"Sun
3/3",40,38,11,7.0
Luka Dončić,"Fri
3/1",37,37,12,2.0
Luka Dončić,"Wed
2/28",36,30,12,5.0
Luka Dončić,"Tue
2/27",41,45,9,1.0
Luka Dončić,"Sun
2/25",33,33,6,3.0
Luka Dončić,"Thu
2/22",38,41,9,3.0
Luka Dončić,"Wed
2/14",31,27,9,5.0
Luka Dončić,"Mon
2/12",37,26,11,5.0
Luka Dončić,"Sat
2/10",31,32,8,3.0
Luka Dončić,"Thu
2/8",40,39,8,3.0
Luka Dončić,"Tue
2/6",43,35,18,1.0
Luka Dončić,"Mon
2/5",36,19,8,3.0
Luka Dončić,"Sat
2/3",42,40,9,9.0
Luka Dončić,"Mon
1/29",43,45,9,4.0
Luka Dončić,"Sat
1/27",46,28,10,3.0
Luka Dončić,"Fri
1/26",45,73,10,4.0
Luka Dončić,"Wed
1/24",39,34,8,5.0
Luka Dončić,"Mon
1/22",40,33,18,3.0
Luka Dončić,"Wed
1/17",36,33,13,4.0
Luka Dončić,"Tue
1/9",36,31,6,3.0
Luka Dončić,"Sun
1/7",39,34,6,3.0
Luka Dončić,"Wed
1/3",31,41,6,4.0
Luka Dončić,"Mon
1/1",34,19,6,4.0
Luka Dončić,"Sat
12/30",38,39,8,4.0
Luka Dončić,"Wed
12/27",37,39,7,5.0
Luka Dončić,"Mon
12/25",44,50,6,4.0
Luka Dončić,"Sat
12/23",32,39,12,2.0
Luka Dončić,"Wed
12/20",44,28,9,5.0
Luka Dončić,"Mon
12/18",36,38,11,3.0
Luka Dončić,"Sat
12/16",37,40,12,4.0
Luka Dončić,"Thu
12/14",39,39,6,8.0
Luka Dončić,"Tue
12/12",43,33,6,4.0
Luka Dončić,"Mon
12/11",44,35,8,3.0
Luka Dončić,"Fri
12/8",41,32,6,5.0
Luka Dončić,"Wed
12/6",32,40,10,4.0
Luka Dončić,"Sat
12/2",46,36,15,7.0
