PLAYER NAME,DATE,MIN,PTS,REB,TOV
Luka Dončić,4/10/2024,36,29,9,3.0
Luka Dončić,4/9/2024,35,39,12,4.0
Luka Dončić,4/7/2024,45,37,9,7.0
Luka Dončić,4/4/2024,37,25,12,5.0
Luka Dončić,4/2/2024,39,30,12,5.0
Luka Dončić,3/31/2024,35,47,12,4.0
Luka Dončić,3/29/2024,41,26,9,5.0
Luka Dončić,3/26/2024,32,28,11,4.0
Luka Dončić,3/25/2024,41,29,12,4.0
Luka Dončić,3/21/2024,35,34,9,4.0
Luka Dončić,3/19/2024,40,18,10,4.0
Luka Dončić,3/17/2024,40,37,10,3.0
Luka Dončić,3/13/2024,30,21,3,6.0
Luka Dončić,3/11/2024,34,27,12,2.0
Luka Dončić,3/9/2024,37,39,10,6.0
Luka Dončić,3/7/2024,40,35,11,4.0
Luka Dončić,3/5/2024,43,39,10,5.0
Luka Dončić,3/3/2024,40,38,11,7.0
Luka Dončić,3/1/2024,37,37,12,2.0
Luka Dončić,2/28/2024,36,30,12,5.0
Luka Dončić,2/27/2024,41,45,9,1.0
Luka Dončić,2/25/2024,33,33,6,3.0
Luka Dončić,2/22/2024,38,41,9,3.0
Luka Dončić,2/14/2024,31,27,9,5.0
Luka Dončić,2/12/2024,37,26,11,5.0
Luka Dončić,2/10/2024,31,32,8,3.0
Luka Dončić,2/8/2024,40,39,8,3.0
Luka Dončić,2/6/2024,43,35,18,1.0
Luka Dončić,2/5/2024,36,19,8,3.0
Luka Dončić,2/3/2024,42,40,9,9.0
Luka Dončić,1/29/2024,43,45,9,4.0
Luka Dončić,1/27/2024,46,28,10,3.0
Luka Dončić,1/26/2024,45,73,10,4.0
Luka Dončić,1/24/2024,39,34,8,5.0
Luka Dončić,1/22/2024,40,33,18,3.0
Luka Dončić,1/17/2024,36,33,13,4.0
Luka Dončić,1/9/2024,36,31,6,3.0
Luka Dončić,1/7/2024,39,34,6,3.0
Luka Dončić,1/3/2024,31,41,6,4.0
Luka Dončić,1/1/2024,34,19,6,4.0
Luka Dončić,12/30/2023,38,39,8,4.0
Luka Dončić,12/27/2023,37,39,7,5.0
Luka Dončić,12/25/2023,44,50,6,4.0
Luka Dončić,12/23/2023,32,39,12,2.0
Luka Dončić,12/20/2023,44,28,9,5.0
Luka Dončić,12/18/2023,36,38,11,3.0
Luka Dončić,12/16/2023,37,40,12,4.0
Luka Dončić,12/14/2023,39,39,6,8.0
Luka Dončić,12/12/2023,43,33,6,4.0
Luka Dončić,12/11/2023,44,35,8,3.0
Luka Dončić,12/8/2023,41,32,6,5.0
Luka Dončić,12/6/2023,32,40,10,4.0
Luka Dončić,12/2/2023,46,36,15,7.0
Luka Dončić,11/28/2023,38,41,9,0.0
Luka Dončić,11/25/2023,38,30,3,4.0
Luka Dončić,11/22/2023,39,30,12,0.0
Luka Dončić,11/19/2023,32,25,10,2.0
Luka Dončić,11/18/2023,35,35,9,3.0
Luka Dončić,11/15/2023,32,26,7,3.0
Luka Dončić,11/14/2023,26,16,2,8.0
Luka Dončić,11/12/2023,28,30,4,2.0
Luka Dončić,11/10/2023,32,44,6,1.0
Luka Dončić,11/8/2023,38,31,7,4.0
Luka Dončić,11/6/2023,35,29,3,6.0
Luka Dončić,11/5/2023,36,23,12,4.0
Luka Dončić,11/3/2023,38,34,10,9.0
Luka Dončić,11/1/2023,40,18,7,6.0
Luka Dončić,10/30/2023,40,35,12,6.0
Luka Dončić,10/27/2023,36,49,10,0.0
Luka Dončić,10/25/2023,34,33,13,4.0
Giannis Antetokounmpo,4/9/2024,29,15,8,4.0
Giannis Antetokounmpo,4/7/2024,39,28,15,4.0
Giannis Antetokounmpo,4/3/2024,32,21,7,3.0
Giannis Antetokounmpo,4/2/2024,36,35,15,2.0
Giannis Antetokounmpo,3/30/2024,38,36,16,3.0
Giannis Antetokounmpo,3/28/2024,39,35,14,2.0
Giannis Antetokounmpo,3/26/2024,46,29,21,7.0
Giannis Antetokounmpo,3/24/2024,34,30,19,3.0
Giannis Antetokounmpo,3/21/2024,35,21,9,2.0
Giannis Antetokounmpo,3/14/2024,37,32,11,7.0
Giannis Antetokounmpo,3/12/2024,33,30,13,4.0
Giannis Antetokounmpo,3/10/2024,39,34,7,3.0
Giannis Antetokounmpo,3/8/2024,39,34,14,4.0
Giannis Antetokounmpo,3/6/2024,33,23,7,2.0
Giannis Antetokounmpo,3/1/2024,37,46,16,1.0
Giannis Antetokounmpo,2/29/2024,33,24,10,1.0
Giannis Antetokounmpo,2/27/2024,24,24,8,1.0
Giannis Antetokounmpo,2/25/2024,36,30,12,6.0
Giannis Antetokounmpo,2/23/2024,41,33,13,3.0
Giannis Antetokounmpo,2/15/2024,37,35,4,1.0
Giannis Antetokounmpo,2/13/2024,34,23,11,5.0
Giannis Antetokounmpo,2/12/2024,30,36,18,2.0
Giannis Antetokounmpo,2/9/2024,24,15,14,0.0
Giannis Antetokounmpo,2/8/2024,27,17,3,3.0
Giannis Antetokounmpo,2/6/2024,39,34,10,5.0
Giannis Antetokounmpo,2/4/2024,40,33,7,5.0
Giannis Antetokounmpo,2/3/2024,40,48,6,1.0
Giannis Antetokounmpo,1/31/2024,38,27,8,6.0
Giannis Antetokounmpo,1/29/2024,37,29,12,2.0
Giannis Antetokounmpo,1/27/2024,29,30,12,1.0
Giannis Antetokounmpo,1/26/2024,36,22,11,6.0
Giannis Antetokounmpo,1/24/2024,35,35,18,2.0
Giannis Antetokounmpo,1/22/2024,36,31,17,2.0
Giannis Antetokounmpo,1/20/2024,38,31,10,5.0
Giannis Antetokounmpo,1/14/2024,40,27,10,4.0
Giannis Antetokounmpo,1/13/2024,37,33,9,4.0
Giannis Antetokounmpo,1/11/2024,26,24,12,4.0
Giannis Antetokounmpo,1/8/2024,38,25,10,4.0
Giannis Antetokounmpo,1/6/2024,39,48,17,2.0
Giannis Antetokounmpo,1/4/2024,40,44,14,1.0
Giannis Antetokounmpo,1/3/2024,36,26,11,3.0
Giannis Antetokounmpo,1/1/2024,37,30,18,4.0
Giannis Antetokounmpo,12/29/2023,37,34,16,3.0
Giannis Antetokounmpo,12/27/2023,30,32,10,2.0
Giannis Antetokounmpo,12/25/2023,39,32,13,2.0
Giannis Antetokounmpo,12/23/2023,32,28,7,5.0
Giannis Antetokounmpo,12/21/2023,37,37,10,5.0
Giannis Antetokounmpo,12/19/2023,34,11,14,3.0
Giannis Antetokounmpo,12/17/2023,39,26,17,6.0
Giannis Antetokounmpo,12/16/2023,26,22,8,0.0
Giannis Antetokounmpo,12/13/2023,37,64,14,4.0
Giannis Antetokounmpo,12/11/2023,41,32,12,2.0
Giannis Antetokounmpo,12/7/2023,41,37,10,1.0
Giannis Antetokounmpo,12/5/2023,34,35,8,4.0
Giannis Antetokounmpo,12/2/2023,36,32,11,5.0
Giannis Antetokounmpo,11/30/2023,39,26,14,5.0
Giannis Antetokounmpo,11/28/2023,40,33,10,4.0
Giannis Antetokounmpo,11/26/2023,39,33,16,4.0
Giannis Antetokounmpo,11/24/2023,37,31,9,3.0
Giannis Antetokounmpo,11/22/2023,37,21,13,3.0
Giannis Antetokounmpo,11/20/2023,34,42,13,5.0
Giannis Antetokounmpo,11/18/2023,38,40,15,3.0
Giannis Antetokounmpo,11/17/2023,28,16,8,4.0
Giannis Antetokounmpo,11/13/2023,35,35,11,3.0
Giannis Antetokounmpo,11/11/2023,37,35,10,6.0
Giannis Antetokounmpo,11/9/2023,36,54,12,8.0
Giannis Antetokounmpo,11/8/2023,22,15,9,1.0
Giannis Antetokounmpo,11/6/2023,35,36,12,3.0
Giannis Antetokounmpo,11/3/2023,36,22,8,7.0
Giannis Antetokounmpo,11/1/2023,28,16,4,3.0
Giannis Antetokounmpo,10/30/2023,32,33,7,2.0
Giannis Antetokounmpo,10/29/2023,29,26,11,3.0
Giannis Antetokounmpo,10/26/2023,35,23,12,7.0
Shai Gilgeous-Alexander,4/14/2024,16,15,1,0.0
Shai Gilgeous-Alexander,4/12/2024,29,23,7,0.0
Shai Gilgeous-Alexander,4/10/2024,26,26,6,1.0
Shai Gilgeous-Alexander,4/9/2024,38,40,7,5.0
Shai Gilgeous-Alexander,3/31/2024,35,19,2,2.0
Shai Gilgeous-Alexander,3/26/2024,38,24,5,0.0
Shai Gilgeous-Alexander,3/24/2024,30,12,3,4.0
Shai Gilgeous-Alexander,3/22/2024,33,23,7,6.0
Shai Gilgeous-Alexander,3/20/2024,33,31,3,1.0
Shai Gilgeous-Alexander,3/16/2024,35,20,7,3.0
Shai Gilgeous-Alexander,3/14/2024,37,31,9,1.0
Shai Gilgeous-Alexander,3/12/2024,37,30,10,4.0
Shai Gilgeous-Alexander,3/10/2024,27,23,2,1.0
Shai Gilgeous-Alexander,3/8/2024,36,37,5,1.0
Shai Gilgeous-Alexander,3/6/2024,36,37,3,4.0
Shai Gilgeous-Alexander,3/4/2024,30,20,7,4.0
Shai Gilgeous-Alexander,3/3/2024,38,35,8,1.0
Shai Gilgeous-Alexander,2/29/2024,35,31,6,1.0
Shai Gilgeous-Alexander,2/27/2024,32,31,8,2.0
Shai Gilgeous-Alexander,2/25/2024,37,36,5,4.0
Shai Gilgeous-Alexander,2/23/2024,30,30,7,1.0
Shai Gilgeous-Alexander,2/22/2024,35,31,4,2.0
Shai Gilgeous-Alexander,2/13/2024,34,32,3,1.0
Shai Gilgeous-Alexander,2/11/2024,39,38,3,1.0
Shai Gilgeous-Alexander,2/10/2024,29,25,6,3.0
Shai Gilgeous-Alexander,2/6/2024,36,28,4,2.0
Shai Gilgeous-Alexander,2/4/2024,48,23,9,2.0
Shai Gilgeous-Alexander,2/2/2024,30,31,3,3.0
Shai Gilgeous-Alexander,1/31/2024,36,34,7,2.0
Shai Gilgeous-Alexander,1/29/2024,39,37,7,4.0
Shai Gilgeous-Alexander,1/28/2024,29,31,5,3.0
Shai Gilgeous-Alexander,1/26/2024,32,31,4,4.0
Shai Gilgeous-Alexander,1/24/2024,29,32,6,4.0
Shai Gilgeous-Alexander,1/23/2024,35,33,6,3.0
Shai Gilgeous-Alexander,1/20/2024,37,33,2,2.0
Shai Gilgeous-Alexander,1/18/2024,35,31,6,4.0
Shai Gilgeous-Alexander,1/16/2024,34,19,2,2.0
Shai Gilgeous-Alexander,1/15/2024,34,24,3,3.0
Shai Gilgeous-Alexander,1/13/2024,36,37,6,0.0
Shai Gilgeous-Alexander,1/11/2024,21,31,5,2.0
Shai Gilgeous-Alexander,1/10/2024,34,28,2,3.0
Shai Gilgeous-Alexander,1/8/2024,36,32,6,3.0
Shai Gilgeous-Alexander,1/5/2024,36,34,9,2.0
Shai Gilgeous-Alexander,1/3/2024,35,33,13,2.0
Shai Gilgeous-Alexander,1/2/2024,37,36,6,0.0
Shai Gilgeous-Alexander,12/31/2023,35,24,4,1.0
Shai Gilgeous-Alexander,12/29/2023,33,40,4,1.0
Shai Gilgeous-Alexander,12/27/2023,36,36,7,1.0
Shai Gilgeous-Alexander,12/26/2023,33,34,6,3.0
Shai Gilgeous-Alexander,12/23/2023,38,34,5,3.0
Shai Gilgeous-Alexander,12/21/2023,32,31,8,1.0
Shai Gilgeous-Alexander,12/18/2023,28,30,9,2.0
Shai Gilgeous-Alexander,12/16/2023,37,25,6,2.0
Shai Gilgeous-Alexander,12/14/2023,38,43,6,3.0
Shai Gilgeous-Alexander,12/11/2023,28,30,4,1.0
Shai Gilgeous-Alexander,12/8/2023,42,38,5,0.0
Shai Gilgeous-Alexander,12/6/2023,37,33,3,2.0
Shai Gilgeous-Alexander,12/2/2023,39,17,3,2.0
Shai Gilgeous-Alexander,11/30/2023,35,33,4,0.0
Shai Gilgeous-Alexander,11/28/2023,34,32,4,3.0
Shai Gilgeous-Alexander,11/25/2023,36,31,6,1.0
Shai Gilgeous-Alexander,11/22/2023,37,40,5,2.0
Shai Gilgeous-Alexander,11/19/2023,23,28,3,3.0
Shai Gilgeous-Alexander,11/18/2023,41,40,7,3.0
Shai Gilgeous-Alexander,11/16/2023,29,24,2,2.0
Shai Gilgeous-Alexander,11/14/2023,28,28,6,2.0
Shai Gilgeous-Alexander,11/12/2023,37,35,7,1.0
Shai Gilgeous-Alexander,11/10/2023,38,33,7,2.0
Shai Gilgeous-Alexander,11/8/2023,38,43,7,3.0
Shai Gilgeous-Alexander,11/6/2023,37,30,8,2.0
Shai Gilgeous-Alexander,11/1/2023,38,20,5,2.0
Shai Gilgeous-Alexander,10/30/2023,33,32,9,5.0
Shai Gilgeous-Alexander,10/29/2023,28,7,4,0.0
Shai Gilgeous-Alexander,10/27/2023,36,34,11,5.0
Shai Gilgeous-Alexander,10/25/2023,36,31,5,1.0
Jalen Brunson,4/14/2024,41,40,8,4.0
Jalen Brunson,4/12/2024,37,30,1,0.0
Jalen Brunson,4/11/2024,30,39,2,2.0
Jalen Brunson,4/9/2024,42,45,3,1.0
Jalen Brunson,4/7/2024,39,43,6,1.0
Jalen Brunson,4/5/2024,42,35,6,5.0
Jalen Brunson,4/4/2024,38,35,2,3.0
Jalen Brunson,4/2/2024,36,20,2,5.0
Jalen Brunson,3/31/2024,35,30,2,3.0
Jalen Brunson,3/29/2024,43,61,4,1.0
Jalen Brunson,3/27/2024,29,26,4,0.0
Jalen Brunson,3/25/2024,30,28,2,0.0
Jalen Brunson,3/23/2024,33,17,4,1.0
Jalen Brunson,3/21/2024,34,26,2,0.0
Jalen Brunson,3/18/2024,35,34,5,3.0
Jalen Brunson,3/16/2024,36,42,4,6.0
Jalen Brunson,3/14/2024,38,45,1,5.0
Jalen Brunson,3/12/2024,27,20,4,1.0
