PLAYER NAME,DATE,TM,GAME,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Coby White,"Mon
10/30",CHI,@,IND,"W
112-105",25,7,2,3,1,0,3,6,50,1,2,50,0,0,,58.3,0,2,1,4,5
Coby White,"Sat
10/28",CHI,@,DET,"L
102-118",28,0,2,1,0,0,0,4,0,0,2,0,0,0,,0.0,0,2,1,1,-10
Coby White,"Fri
10/27",CHI,vs,TOR,"W
104-103",40,17,6,8,1,0,5,15,33.3,2,9,22.2,5,5,100,49.4,0,6,3,2,-1
Coby White,"Wed
10/25",CHI,vs,OKC,"L
104-124",31,15,4,4,0,0,4,14,28.6,2,7,28.6,5,6,83.3,45.1,1,3,0,3,-8
Coby White,"Thu
11/30",CHI,vs,MIL,"W
120-113",45,23,4,7,1,1,7,20,35.0,4,11,36.4,5,6,83.3,50.8,0,4,3,3,=+1
Coby White,"Tue
11/28",CHI,@,BOS,"L
97-124",30,19,1,3,0,0,7,12,58.3,3,5,60.0,2,2,100.0,73.8,0,1,0,0,-16
Coby White,"Sun
11/26",CHI,@,BKN,"L
109-118",38,23,5,4,0,1,7,16,43.8,5,12,41.7,4,4,100.0,64.8,1,4,1,3,=+7
Coby White,"Fri
11/24",CHI,@,TOR,"L
108-121",34,14,3,3,0,0,5,9,55.6,4,7,57.1,0,0,,77.8,1,2,3,4,-9
Coby White,"Wed
11/22",CHI,@,OKC,"L
102-116",37,23,1,5,1,0,8,17,47.1,7,12,58.3,0,0,,67.6,0,1,3,5,-5
Coby White,"Mon
11/20",CHI,vs,MIA,"L
100-118",34,20,5,3,1,1,7,11,63.6,4,8,50.0,2,2,100.0,84.2,1,4,2,2,-16
Coby White,"Sat
11/18",CHI,vs,MIA,"W
102-97",29,14,3,5,1,0,5,13,38.5,4,10,40.0,0,0,,53.8,0,3,3,5,-11
Coby White,"Fri
11/17",CHI,vs,ORL,"L
97-103",30,4,1,4,1,0,2,6,33.3,0,3,0.0,0,1,0.0,31.1,0,1,2,2,=+9
Coby White,"Wed
11/15",CHI,vs,ORL,"L
94-96",33,5,1,1,1,0,2,10,20.0,1,5,20.0,0,0,,25.0,0,1,3,4,=+5
Coby White,"Mon
11/13",CHI,@,MIL,"L
109-118",26,16,3,1,2,0,6,14,42.9,3,8,37.5,1,2,50.0,53.8,0,3,1,3,=+1
Coby White,"Sun
11/12",CHI,vs,DET,"W
119-108",32,16,0,7,2,0,6,14,42.9,3,6,50.0,1,2,50.0,53.8,0,0,1,6,=+4
Coby White,"Wed
11/8",CHI,vs,PHX,"L
115-116",37,11,7,6,3,1,5,14,35.7,1,5,20.0,0,0,,39.3,1,6,2,3,-11
Coby White,"Mon
11/6",CHI,vs,UTA,"W
130-113",29,18,3,7,1,0,7,9,77.8,4,6,66.7,0,0,,100.0,0,3,1,1,=+15
Coby White,"Sat
11/4",CHI,@,DEN,"L
101-123",31,11,2,5,2,1,4,10,40.0,1,4,25.0,2,2,100.0,50.6,0,2,2,2,-11
Coby White,"Fri
11/3",CHI,vs,BKN,"L
107-109",35,18,3,2,0,1,7,17,41.2,2,8,25.0,2,2,100.0,50.3,1,2,2,0,=+3
Coby White,"Wed
11/1",CHI,@,DAL,"L
105-114",33,10,1,4,0,0,4,12,33.3,1,6,16.7,,,,,,,,,
Coby White,"Sat
12/30",CHI,vs,PHI,"W
105-92",40,20,8,2,0,0,7,15,46.7,1,5,20.0,5,6,83.3,56.7,2,6,5,3,=+10
Coby White,"Thu
12/28",CHI,vs,IND,"L
104-120",33,16,5,2,0,0,5,19,26.3,2,6,33.3,4,4,100.0,38.5,0,5,2,3,-24
Coby White,"Tue
12/26",CHI,vs,ATL,"W
118-113",37,19,5,5,0,0,7,22,31.8,0,7,0.0,5,8,62.5,37.2,0,5,1,2,=+7
Coby White,"Sat
12/23",CHI,vs,CLE,"L
95-109",40,17,4,7,0,1,8,19,42.1,0,8,0.0,1,1,100.0,43.7,0,4,4,2,-5
Coby White,"Thu
12/21",CHI,vs,SAS,"W
114-95",36,22,6,5,0,0,10,15,66.7,2,6,33.3,0,0,,73.3,0,6,3,2,=+9
Coby White,"Wed
12/20",CHI,vs,LAL,"W
124-108",33,17,7,5,0,0,7,18,38.9,3,6,50.0,0,0,,47.2,1,6,3,2,=+10
Coby White,"Mon
12/18",CHI,@,PHI,"W
108-104",40,24,8,9,0,1,9,17,52.9,2,6,33.3,4,4,100.0,64.0,1,7,2,0,0
Coby White,"Sat
12/16",CHI,@,MIA,"L
116-118",39,22,7,5,1,0,7,15,46.7,4,10,40.0,4,4,100.0,65.6,1,6,1,3,=+3
Coby White,"Thu
12/14",CHI,@,MIA,"W
124-116",40,26,7,11,1,0,9,20,45.0,4,11,36.4,4,8,50.0,55.3,1,6,0,1,=+20
Coby White,"Tue
12/12",CHI,vs,DEN,"L
106-114",35,27,4,8,1,0,8,15,53.3,5,10,50.0,6,6,100.0,76.5,2,2,2,2,-5
Coby White,"Mon
12/11",CHI,@,MIL,"L
129-133",45,33,6,4,1,0,12,20,60.0,6,10,60.0,3,4,75.0,75.8,0,6,2,3,=+1
Coby White,"Fri
12/8",CHI,@,SAS,"W
121-112",39,24,4,6,1,0,9,15,60.0,5,7,71.4,1,1,100.0,77.7,0,4,3,0,=+18
Coby White,"Wed
12/6",CHI,vs,CHA,"W
111-100",38,19,9,5,0,0,6,16,37.5,3,7,42.9,4,5,80.0,52.2,0,9,0,3,=+6
Coby White,"Sat
12/2",CHI,vs,NOP,"W
124-118",40,31,9,6,1,0,10,17,58.8,8,13,61.5,3,3,100.0,84.6,2,7,3,4,=+6
Coby White,"Wed
1/31",CHI,@,CHA,"W
117-110",43,35,7,9,0,0,12,22,54.5,4,10,40.0,7,9,77.8,67.4,1,6,3,0,=+12
Coby White,"Tue
1/30",CHI,vs,TOR,"L
107-118",35,13,2,6,1,0,5,10,50.0,1,4,25.0,2,2,100.0,59.7,0,2,1,3,-17
Coby White,"Sun
1/28",CHI,@,POR,"W
104-96",42,15,5,9,1,0,7,19,36.8,1,9,11.1,0,1,0.0,38.6,0,5,3,1,=+7
Coby White,"Thu
1/25",CHI,@,LAL,"L
132-141",43,25,7,3,0,0,8,18,44.4,3,10,30.0,6,7,85.7,59.3,2,5,4,1,-1
Coby White,"Mon
1/22",CHI,@,PHX,"L
113-115",41,26,10,9,2,0,10,14,71.4,4,5,80.0,2,2,100.0,87.4,2,8,1,4,=+9
Coby White,"Sat
1/20",CHI,vs,MEM,"W
125-96",36,17,5,5,0,0,7,14,50.0,1,3,33.3,2,2,100.0,57.1,1,4,1,1,=+17
Coby White,"Thu
1/18",CHI,@,TOR,"W
116-110",35,23,8,4,2,0,10,19,52.6,1,6,16.7,2,3,66.7,56.6,2,6,2,2,=+23
Coby White,"Mon
1/15",CHI,@,CLE,"L
91-109",38,18,4,3,1,2,5,15,33.3,1,5,20.0,7,9,77.8,47.5,1,3,7,0,-12
Coby White,"Sat
1/13",CHI,@,SAS,"W
122-116",32,15,2,4,0,1,6,13,46.2,0,3,0.0,3,4,75.0,50.8,0,2,0,2,-11
Coby White,"Fri
1/12",CHI,vs,GSW,"L
131-140",37,25,4,7,0,0,9,13,69.2,5,7,71.4,2,3,66.7,87.3,0,4,1,4,=+11
Coby White,"Wed
1/10",CHI,vs,HOU,"W
124-119",43,30,4,8,0,1,9,17,52.9,6,11,54.5,6,7,85.7,74.7,0,4,4,1,=+15
Coby White,"Mon
1/8",CHI,@,CHA,"W
119-112",42,27,6,5,0,0,10,19,52.6,3,7,42.9,4,5,80.0,63.7,0,6,1,3,=+11
Coby White,"Fri
1/5",CHI,vs,CHA,"W
104-91",40,22,10,6,0,0,7,12,58.3,3,6,50.0,5,6,83.3,75.1,1,9,5,1,0
Coby White,"Wed
1/3",CHI,@,NYK,"L
100-116",38,26,4,8,0,1,9,19,47.4,6,9,66.7,2,2,100.0,65.4,0,4,3,1,-23
Coby White,"Tue
1/2",CHI,@,PHI,"L
97-110",29,14,4,3,2,0,5,15,33.3,0,5,0.0,4,5,80.0,40.7,0,4,1,4,-26
Coby White,"Wed
2/28",CHI,vs,CLE,"W
132-123",50,14,8,12,1,1,5,20,25.0,2,13,15.4,2,2,100.0,33.5,3,5,3,2,=+16
Coby White,"Tue
2/27",CHI,vs,DET,"L
95-105",41,10,5,6,0,0,2,14,14.3,0,5,0.0,6,8,75.0,28.5,1,4,1,2,-15
Coby White,"Sun
2/25",CHI,@,NOP,"W
114-106",37,16,7,3,2,0,5,18,27.8,2,9,22.2,4,4,100.0,40.5,1,6,1,2,-11
Coby White,"Thu
2/22",CHI,vs,BOS,"L
112-129",35,20,2,4,1,0,6,17,35.3,4,9,44.4,4,4,100.0,53.3,0,2,2,5,-26
Coby White,"Wed
2/14",CHI,@,CLE,"L
105-108",39,32,7,4,1,0,11,17,64.7,5,8,62.5,5,6,83.3,81.5,0,7,4,3,-4
Coby White,"Mon
2/12",CHI,@,ATL,"W
136-126",33,20,4,7,1,0,8,17,47.1,1,5,20.0,3,4,75.0,53.3,1,3,1,1,=+6
Coby White,"Sat
2/10",CHI,@,ORL,"L
108-114",45,14,4,7,2,0,5,21,23.8,2,11,18.2,2,2,100.0,32.0,1,3,1,2,=+1
Coby White,"Thu
2/8",CHI,@,MEM,"W
118-110",36,20,6,8,0,0,6,12,50.0,2,3,66.7,6,6,100.0,68.3,1,5,5,2,=+7
Coby White,"Tue
2/6",CHI,vs,MIN,"W
129-123",42,33,5,7,1,0,11,21,52.4,7,13,53.8,4,5,80.0,71.1,0,5,3,4,=+7
Coby White,"Sat
2/3",CHI,vs,SAC,"L
115-123",36,26,6,4,0,0,10,18,55.6,4,7,57.1,2,2,100.0,68.9,0,6,3,1,-2
Coby White,"Sun
3/31",CHI,@,MIN,"W
109-101",41,17,5,3,0,0,6,10,60.0,4,6,66.7,1,1,100.0,81.4,0,5,2,2,=+4
Coby White,"Fri
3/29",CHI,@,BKN,"L
108-125",39,18,2,9,0,0,6,16,37.5,3,9,33.3,3,5,60.0,49.5,0,2,2,5,-18
Coby White,"Wed
3/27",CHI,vs,IND,"W
125-99",35,18,7,2,1,0,8,21,38.1,2,5,40.0,0,0,,42.9,3,4,0,1,0
Coby White,"Mon
3/25",CHI,vs,WAS,"L
105-107",36,22,4,5,0,1,6,20,30.0,2,11,18.2,8,8,100.0,46.8,0,4,1,1,-2
Coby White,"Sat
3/23",CHI,vs,BOS,"L
113-124",36,11,5,10,0,0,3,11,27.3,1,4,25.0,4,4,100.0,43.1,0,5,2,3,-7
Coby White,"Thu
3/21",CHI,@,HOU,"L
117-127",29,13,4,3,0,0,5,13,38.5,2,5,40.0,1,2,50.0,46.8,0,4,2,2,=+4
Coby White,"Wed
3/13",CHI,@,IND,"W
132-129",36,15,4,3,2,1,6,17,35.3,1,3,33.3,2,3,66.7,40.9,2,2,1,2,=+5
Coby White,"Mon
3/11",CHI,vs,DAL,"L
92-127",27,12,2,1,0,0,4,14,28.6,1,6,16.7,3,3,100.0,39.2,1,1,2,2,-18
Coby White,"Sat
3/9",CHI,@,LAC,"L
102-112",41,19,5,4,0,0,7,16,43.8,3,9,33.3,2,2,100.0,56.3,1,4,5,4,-2
Coby White,"Thu
3/7",CHI,@,GSW,"W
125-122",37,20,4,7,2,0,7,16,43.8,2,6,33.3,4,4,100.0,56.3,0,4,2,4,=+2
Coby White,"Wed
3/6",CHI,@,UTA,"W
119-117",42,25,6,6,0,1,9,15,60.0,7,11,63.6,0,0,,83.3,0,6,1,1,=+9
Coby White,"Mon
3/4",CHI,@,SAC,"W
113-109",44,37,5,7,1,0,14,19,73.7,5,9,55.6,4,5,80.0,87.3,0,5,3,3,=+4
Coby White,"Fri
3/1",CHI,vs,MIL,"L
97-113",38,22,3,2,0,0,7,14,50.0,2,5,40.0,6,6,100.0,66.1,0,3,2,2,-14
Coby White,"Sun
4/14",CHI,@,NYK,"L
119-120",43,26,2,4,2,0,12,18,66.7,0,3,0.0,2,2,100.0,68.9,0,2,2,1,=+1
Coby White,"Fri
4/12",CHI,@,WAS,"W
129-127",27,20,4,4,1,0,7,16,43.8,0,2,0.0,6,7,85.7,52.4,2,2,1,1,0
Coby White,"Thu
4/11",CHI,@,DET,"W
127-105",37,18,3,5,0,1,7,15,46.7,4,8,50.0,0,0,,60.0,0,3,3,3,=+24
Coby White,"Tue
4/9",CHI,vs,NYK,"L
117-128",42,24,3,6,1,0,11,22,50.0,2,8,25.0,0,2,0.0,52.4,0,3,2,3,-10
Coby White,"Sun
4/7",CHI,@,ORL,"L
98-113",38,11,2,6,0,0,4,11,36.4,1,5,20.0,2,2,100.0,46.3,0,2,3,3,-18
Coby White,"Fri
4/5",CHI,vs,NYK,"W
108-100",14,2,3,1,0,0,1,4,25.0,0,3,0.0,0,0,,25.0,0,3,0,1,=+14
Coby White,"Mon
4/1",CHI,vs,ATL,"L
101-113",39,22,3,3,1,0,8,21,38.1,2,7,28.6,4,4,100.0,48.3,1,2,1,4,-9
,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Williams,"Mon
10/30",OKC,vs,DET,"W
124-112",31,19,7,6,1,1,8,14,57.1,1,3,33.3,2,2,100.0,63.8,0,7,2,2,=+13
Jalen Williams,"Sun
10/29",OKC,vs,DEN,"L
95-128",28,13,3,5,0,1,6,9,66.7,0,1,0.0,1,1,100.0,68.9,0,3,0,2,-21
Jalen Williams,"Fri
10/27",OKC,@,CLE,"W
108-105",35,14,5,2,1,0,4,14,28.6,2,4,50.0,4,4,100.0,44.4,0,5,4,2,=+5
Jalen Williams,"Wed
10/25",OKC,@,CHI,"W
124-104",32,16,3,5,1,0,5,11,45.5,2,6,33.3,4,4,100.0,62.7,0,3,2,3,=+8
Jalen Williams,"Thu
11/30",OKC,vs,LAL,"W
133-110",29,21,5,7,0,1,8,13,61.5,1,4,25.0,4,5,80.0,69.1,0,5,0,3,0
Jalen Williams,"Tue
11/28",OKC,@,MIN,"L
103-106",34,10,3,3,0,1,2,10,20.0,0,3,0.0,6,7,85.7,38.2,0,3,1,4,-15
Jalen Williams,"Sat
11/18",OKC,@,GSW,"W
130-123",41,22,6,3,1,0,8,16,50.0,0,2,0.0,6,6,100.0,59.0,0,6,1,2,=+6
Jalen Williams,"Thu
11/16",OKC,@,GSW,"W
128-109",29,16,3,5,2,0,6,13,46.2,2,3,66.7,2,2,100.0,57.6,0,3,2,3,=+7
Jalen Williams,"Tue
11/14",OKC,vs,SAS,"W
123-87",23,11,2,3,0,0,5,9,55.6,1,3,33.3,0,0,,61.1,0,2,3,3,=+23
Jalen Williams,"Sun
11/12",OKC,@,PHX,"W
111-99",38,31,1,1,2,0,11,16,68.8,3,4,75.0,6,8,75.0,79.4,0,1,1,4,=+23
Jalen Williams,"Fri
11/10",OKC,@,SAC,"L
98-105",31,14,5,2,1,0,6,14,42.9,0,3,0.0,2,2,100.0,47.0,0,5,3,1,-14
Jalen Williams,"Wed
11/8",OKC,vs,CLE,"W
128-120",33,15,4,2,1,0,5,10,50.0,1,1,100.0,4,4,100.0,63.8,1,3,1,3,-2
Jalen Williams,"Mon
11/6",OKC,vs,ATL,"W
126-117",36,21,3,2,0,1,8,13,61.5,2,5,40.0,3,3,100.0,73.3,0,3,2,5,=+4
Jalen Williams,"Fri
11/3",OKC,vs,GSW,"L
139-141",35,18,3,8,1,0,8,12,66.7,0,0,,2,5,40.0,63.4,1,2,6,6,0
Jalen Williams,"Wed
11/1",OKC,vs,NOP,"L
106-110",38,18,8,3,0,0,5,13,38.5,0,3,0.0,8,9,88.9,53.1,1,7,1,3,-6
Jalen Williams,"Sun
12/31",OKC,vs,BKN,"W
124-108",29,17,3,5,0,1,7,14,50.0,1,3,33.3,2,4,50.0,53.9,0,3,3,1,=+7
