PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Andre Drummond,"Tue
4/9",CHI,vs,NYK,"L
117-128",5,4,2,0,1,0,2,2,100.0,0,0,,0,0,,100.0,1,1,0,0,=+1
Andre Drummond,"Sun
4/7",CHI,@,ORL,"L
98-113",25,14,10,0,2,0,7,9,77.8,0,0,,0,0,,77.8,4,6,0,2,=+4
Andre Drummond,"Fri
4/5",CHI,vs,NYK,"W
108-100",24,10,16,0,3,1,3,7,42.9,0,0,,4,6,66.7,51.9,5,11,3,4,=+7
Andre Drummond,"Mon
4/1",CHI,vs,ATL,"L
101-113",20,13,18,0,0,0,5,8,62.5,0,0,,3,6,50.0,61.1,8,10,1,2,-4
Andre Drummond,"Sun
3/31",CHI,@,MIN,"W
109-101",17,6,9,0,1,0,3,6,50.0,0,0,,0,0,,50.0,2,7,0,4,-1
Andre Drummond,"Fri
3/29",CHI,@,BKN,"L
108-125",17,6,11,0,0,2,1,2,50.0,0,0,,4,6,66.7,64.7,1,10,1,1,=+7
Andre Drummond,"Wed
3/27",CHI,vs,IND,"W
125-99",18,14,11,3,3,0,5,8,62.5,0,0,,4,5,80.0,68.6,4,7,1,2,=+23
Andre Drummond,"Mon
3/25",CHI,vs,WAS,"L
105-107",19,10,12,1,0,2,5,9,55.6,0,0,,0,0,,55.6,3,9,0,0,=+9
Andre Drummond,"Sat
3/23",CHI,vs,BOS,"L
113-124",16,7,6,0,0,0,3,3,100.0,0,0,,1,1,100.0,101.7,1,5,1,0,-5
Andre Drummond,"Thu
3/21",CHI,@,HOU,"L
117-127",24,9,8,0,1,1,3,5,60.0,0,0,,3,4,75.0,66.6,3,5,2,1,-3
Andre Drummond,"Mon
3/18",CHI,vs,POR,"W
110-107",14,9,11,0,0,0,2,10,20.0,0,0,,5,5,100.0,36.9,7,4,0,2,=+6
Andre Drummond,"Sat
3/16",CHI,vs,WAS,"W
127-98",15,13,9,1,0,0,4,5,80.0,0,0,,5,8,62.5,76.3,4,5,0,2,=+10
Andre Drummond,"Thu
3/14",CHI,vs,LAC,"L
111-126",16,15,7,1,0,1,7,8,87.5,0,0,,1,1,100.0,88.9,3,4,0,2,=+2
Andre Drummond,"Wed
3/13",CHI,@,IND,"W
132-129",10,3,4,0,0,0,1,4,25.0,0,0,,1,2,50.0,30.7,1,3,1,3,-18
Andre Drummond,"Mon
3/11",CHI,vs,DAL,"L
92-127",16,4,10,1,1,0,1,3,33.3,0,0,,2,4,50.0,42.0,1,9,1,0,-11
Andre Drummond,"Sat
3/9",CHI,@,LAC,"L
102-112",12,3,7,0,0,0,0,1,0.0,0,0,,3,4,75.0,54.3,3,4,1,1,=+1
Andre Drummond,"Thu
3/7",CHI,@,GSW,"W
125-122",13,1,7,0,0,0,0,1,0.0,0,0,,1,6,16.7,13.7,3,4,2,1,=+10
Andre Drummond,"Wed
3/6",CHI,@,UTA,"W
119-117",17,10,6,0,0,0,4,7,57.1,0,0,,2,4,50.0,57.1,3,3,0,1,-2
Andre Drummond,"Mon
3/4",CHI,@,SAC,"W
113-109",16,4,6,0,0,0,2,5,40.0,0,0,,0,0,,40.0,0,6,0,5,=+9
Andre Drummond,"Fri
3/1",CHI,vs,MIL,"L
97-113",24,9,10,0,1,1,4,11,36.4,0,0,,1,1,100.0,39.3,3,7,3,4,-5
Andre Drummond,"Wed
2/28",CHI,vs,CLE,"W
132-123",36,17,26,1,0,3,8,12,66.7,0,0,,1,2,50.0,66.0,9,17,3,3,=+1
Andre Drummond,"Tue
2/27",CHI,vs,DET,"L
95-105",28,20,11,0,0,1,9,14,64.3,0,0,,2,2,100.0,67.2,6,5,1,2,=+8
Andre Drummond,"Sun
2/25",CHI,@,NOP,"W
114-106",14,7,8,1,0,0,2,5,40.0,0,0,,3,3,100.0,55.4,1,7,0,2,=+6
Andre Drummond,"Thu
2/22",CHI,vs,BOS,"L
112-129",17,11,8,0,0,1,4,8,50.0,0,0,,3,4,75.0,56.4,4,4,0,0,-11
Andre Drummond,"Wed
2/14",CHI,@,CLE,"L
105-108",28,10,15,0,1,1,4,9,44.4,0,0,,2,2,100.0,50.6,4,11,3,2,=+8
Andre Drummond,"Mon
2/12",CHI,@,ATL,"W
136-126",16,7,11,0,0,0,3,7,42.9,0,1,0.0,1,2,50.0,44.4,3,8,0,2,=+4
Andre Drummond,"Sat
2/10",CHI,@,ORL,"L
108-114",17,4,5,0,2,0,1,3,33.3,0,0,,2,4,50.0,42.0,2,3,3,4,-11
Andre Drummond,"Thu
2/8",CHI,@,MEM,"W
118-110",31,21,13,1,1,1,10,11,90.9,0,0,,1,3,33.3,85.2,3,10,1,1,=+7
Andre Drummond,"Tue
2/6",CHI,vs,MIN,"W
129-123",35,16,16,0,0,4,7,13,53.8,0,0,,2,4,50.0,54.2,6,10,1,4,=+4
Andre Drummond,"Sat
2/3",CHI,vs,SAC,"L
115-123",14,2,8,0,0,0,1,4,25.0,0,0,,0,0,,25.0,4,4,0,0,-5
Andre Drummond,"Wed
1/31",CHI,@,CHA,"W
117-110",15,10,8,1,0,0,5,8,62.5,0,0,,0,1,0.0,59.2,3,5,0,2,=+4
Andre Drummond,"Tue
1/30",CHI,vs,TOR,"L
107-118",14,7,7,0,1,1,3,4,75.0,0,0,,1,2,50.0,71.7,3,4,0,0,=+4
Andre Drummond,"Sun
1/28",CHI,@,POR,"W
104-96",17,15,7,0,1,1,6,11,54.5,0,0,,3,3,100.0,60.9,4,3,0,3,=+3
Andre Drummond,"Thu
1/25",CHI,@,LAL,"L
132-141",17,11,9,1,1,0,5,7,71.4,0,0,,1,2,50.0,69.8,5,4,1,0,0
Andre Drummond,"Mon
1/22",CHI,@,PHX,"L
113-115",11,6,5,0,0,0,2,4,50.0,0,0,,2,4,50.0,52.1,3,2,1,0,-12
Andre Drummond,"Sat
1/20",CHI,vs,MEM,"W
125-96",19,15,10,1,4,0,7,11,63.6,0,0,,1,2,50.0,63.1,5,5,0,2,=+18
Andre Drummond,"Thu
1/18",CHI,@,TOR,"W
116-110",10,5,4,0,0,1,1,1,100.0,0,0,,3,4,75.0,90.6,0,4,1,1,-12
Andre Drummond,"Mon
1/15",CHI,@,CLE,"L
91-109",22,8,10,1,2,2,3,3,100.0,0,0,,2,4,50.0,84.0,3,7,2,2,=+4
Andre Drummond,"Sat
1/13",CHI,@,SAS,"W
122-116",17,7,10,1,1,1,3,7,42.9,0,0,,1,3,33.3,42.1,4,6,0,2,-7
Andre Drummond,"Fri
1/12",CHI,vs,GSW,"L
131-140",12,5,4,1,0,1,2,2,100.0,0,0,,1,2,50.0,86.8,0,4,0,0,-6
Andre Drummond,"Wed
1/10",CHI,vs,HOU,"W
124-119",13,4,0,1,2,0,2,2,100.0,0,0,,0,0,,100.0,0,0,3,1,-11
Andre Drummond,"Mon
1/8",CHI,@,CHA,"W
119-112",23,21,15,0,0,0,9,12,75.0,0,0,,3,3,100.0,78.8,5,10,2,1,=+16
Andre Drummond,"Fri
1/5",CHI,vs,CHA,"W
104-91",23,7,10,0,1,3,3,7,42.9,0,0,,1,2,50.0,44.4,3,7,2,1,=+8
Andre Drummond,"Wed
1/3",CHI,@,NYK,"L
100-116",30,13,16,0,2,1,5,12,41.7,0,0,,3,6,50.0,44.4,8,8,1,3,-15
Andre Drummond,"Tue
1/2",CHI,@,PHI,"L
97-110",28,11,17,0,1,1,5,13,38.5,0,1,0.0,1,4,25.0,37.3,10,7,2,2,-31
Andre Drummond,"Sat
12/30",CHI,vs,PHI,"W
105-92",30,15,23,2,2,3,6,8,75.0,0,0,,3,10,30.0,60.5,3,20,3,4,=+16
Andre Drummond,"Thu
12/28",CHI,vs,IND,"L
104-120",21,7,16,0,1,0,3,9,33.3,0,0,,1,4,25.0,32.5,7,9,1,4,-8
Andre Drummond,"Tue
12/26",CHI,vs,ATL,"W
118-113",39,24,25,1,3,2,11,13,84.6,0,0,,2,2,100.0,86.5,10,15,2,4,=+4
Andre Drummond,"Sat
12/23",CHI,vs,CLE,"L
95-109",13,1,6,0,1,0,0,0,,0,0,,1,2,50.0,56.8,2,4,1,4,-10
Andre Drummond,"Thu
12/21",CHI,vs,SAS,"W
114-95",19,12,8,1,5,2,5,10,50.0,0,0,,2,3,66.7,53.0,4,4,1,0,=+17
Andre Drummond,"Wed
12/20",CHI,vs,LAL,"W
124-108",16,11,7,1,1,0,4,5,80.0,0,0,,3,4,75.0,81.4,0,7,2,2,=+12
Andre Drummond,"Mon
12/18",CHI,@,PHI,"W
108-104",14,5,8,0,1,1,2,3,66.7,0,0,,1,2,50.0,64.4,3,5,0,0,=+8
Andre Drummond,"Sat
12/16",CHI,@,MIA,"L
116-118",11,4,4,0,1,0,1,2,50.0,0,0,,2,2,100.0,69.4,0,4,1,1,-3
Andre Drummond,"Thu
12/14",CHI,@,MIA,"W
124-116",12,7,5,0,0,0,3,4,75.0,0,0,,1,2,50.0,71.7,1,4,0,3,-4
Andre Drummond,"Tue
12/12",CHI,vs,DEN,"L
106-114",14,8,4,0,2,2,3,4,75.0,0,0,,2,3,66.7,75.2,1,3,1,1,-5
Andre Drummond,"Mon
12/11",CHI,@,MIL,"L
129-133",14,9,16,1,1,0,3,12,25.0,0,0,,3,3,100.0,33.8,11,5,0,1,-2
Andre Drummond,"Fri
12/8",CHI,@,SAS,"W
121-112",12,7,8,0,0,0,3,7,42.9,0,0,,1,4,25.0,40.0,6,2,0,2,-6
Andre Drummond,"Wed
12/6",CHI,vs,CHA,"W
111-100",14,7,9,1,1,0,3,8,37.5,0,0,,1,2,50.0,39.4,5,4,3,3,=+10
Andre Drummond,"Sat
12/2",CHI,vs,NOP,"W
124-118",15,7,8,1,0,1,3,7,42.9,0,0,,1,2,50.0,44.4,3,5,1,2,0
Andre Drummond,"Thu
11/30",CHI,vs,MIL,"W
120-113",13,10,14,1,1,0,2,2,100.0,0,0,,6,8,75.0,90.6,5,9,2,1,=+13
Andre Drummond,"Tue
11/28",CHI,@,BOS,"L
97-124",13,5,6,0,0,1,2,5,40.0,0,0,,1,6,16.7,32.7,2,4,0,1,-11
Andre Drummond,"Sun
11/26",CHI,@,BKN,"L
109-118",11,4,5,0,1,0,1,2,50.0,0,0,,2,3,66.7,60.2,2,3,2,3,-11
Andre Drummond,"Fri
11/24",CHI,@,TOR,"L
108-121",6,2,5,0,0,0,1,4,25.0,0,0,,0,0,,25.0,3,2,0,2,-10
Andre Drummond,"Wed
11/22",CHI,@,OKC,"L
102-116",11,2,5,1,0,0,1,3,33.3,0,0,,0,0,,33.3,1,4,0,2,-11
Andre Drummond,"Mon
11/20",CHI,vs,MIA,"L
100-118",14,2,5,1,0,1,1,3,33.3,0,0,,0,0,,33.3,1,4,1,1,-2
Andre Drummond,"Sat
11/18",CHI,vs,MIA,"W
102-97",15,6,9,0,1,1,2,3,66.7,0,0,,2,2,100.0,77.3,3,6,1,3,=+10
Andre Drummond,"Fri
11/17",CHI,vs,ORL,"L
97-103",18,5,6,0,2,1,1,2,50.0,0,1,0.0,3,4,75.0,66.5,2,4,2,1,-2
Andre Drummond,"Wed
11/15",CHI,vs,ORL,"L
94-96",12,9,14,1,1,0,3,5,60.0,0,0,,3,4,75.0,66.6,5,9,2,3,-6
Andre Drummond,"Mon
11/13",CHI,@,MIL,"L
109-118",12,4,3,0,2,0,2,5,40.0,0,0,,0,0,,40.0,1,2,1,2,-8
Andre Drummond,"Sun
11/12",CHI,vs,DET,"W
119-108",15,11,13,1,2,0,5,8,62.5,0,0,,1,2,50.0,61.9,5,8,1,2,=+5
Andre Drummond,"Wed
11/8",CHI,vs,PHX,"L
115-116",12,2,3,1,1,0,1,1,100.0,0,0,,0,0,,100.0,1,2,2,2,=+15
Andre Drummond,"Mon
11/6",CHI,vs,UTA,"W
130-113",14,12,7,1,1,1,5,10,50.0,0,0,,2,3,66.7,53.0,5,2,2,2,=+4
Andre Drummond,"Sat
11/4",CHI,@,DEN,"L
101-123",15,5,11,0,1,0,2,3,66.7,0,0,,1,2,50.0,64.4,4,7,0,1,=+7
Andre Drummond,"Fri
11/3",CHI,vs,BKN,"L
107-109",12,7,4,0,1,0,3,3,100.0,0,0,,1,4,25.0,73.5,0,4,1,1,-9
Andre Drummond,"Wed
11/1",CHI,@,DAL,"L
105-114",12,8,3,0,2,0,4,5,80.0,0,0,,0,0,,80.0,1,2,0,2,-3
Andre Drummond,"Mon
10/30",CHI,@,IND,"W
112-105",14,5,3,2,1,0,2,4,50.0,0,0,,1,2,50.0,51.2,2,1,1,0,=+7
Andre Drummond,"Sat
10/28",CHI,@,DET,"L
102-118",14,2,5,2,3,1,1,6,16.7,0,0,,0,0,,16.7,3,2,0,0,-5
Andre Drummond,"Fri
10/27",CHI,vs,TOR,"W
104-103",12,8,2,0,0,0,3,6,50.0,0,0,,2,2,100.0,58.1,2,0,2,2,=+1
Andre Drummond,"Wed
10/25",CHI,vs,OKC,"L
104-124",16,6,5,1,1,0,3,4,75.0,0,0,,0,0,,75.0,3,2,1,1,-1
Jonas Valančiūnas,"Sun
4/14",NOP,vs,LAL,"L
108-124",7,2,3,1,0,0,1,3,33.3,0,1,0.0,0,0,,33.3,0,3,4,3,-10
Jonas Valančiūnas,"Fri
4/12",NOP,@,GSW,"W
114-109",16,10,5,1,0,0,4,9,44.4,0,1,0.0,2,3,66.7,48.4,2,3,1,1,-17
Jonas Valančiūnas,"Thu
4/11",NOP,@,SAC,"W
135-123",33,13,10,3,1,0,5,8,62.5,0,0,,3,5,60.0,63.7,1,9,2,4,=+16
Jonas Valančiūnas,"Tue
4/9",NOP,@,POR,"W
110-100",21,11,8,5,2,0,5,12,41.7,0,2,0.0,1,2,50.0,42.7,2,6,0,0,=+18
Jonas Valančiūnas,"Sun
4/7",NOP,@,PHX,"W
113-105",4,2,2,0,0,0,1,3,33.3,0,2,0.0,0,0,,33.3,1,1,1,0,-5
Jonas Valančiūnas,"Fri
4/5",NOP,vs,SAS,"L
109-111",28,26,7,7,1,0,10,12,83.3,0,1,0.0,6,6,100.0,88.8,1,6,4,5,-1
Jonas Valančiūnas,"Wed
4/3",NOP,vs,ORL,"L
108-117",19,11,6,1,0,0,4,6,66.7,0,0,,3,3,100.0,75.1,1,5,1,2,-5
Jonas Valančiūnas,"Mon
4/1",NOP,vs,PHX,"L
111-124",24,11,7,1,0,0,5,10,50.0,0,2,0.0,1,4,25.0,46.8,1,6,0,1,-12
Jonas Valančiūnas,"Sat
3/30",NOP,vs,BOS,"L
92-104",15,2,5,2,0,0,1,5,20.0,0,1,0.0,0,0,,20.0,0,5,1,1,-4
Jonas Valančiūnas,"Thu
3/28",NOP,vs,MIL,"W
107-100",23,17,10,1,1,1,7,13,53.8,1,3,33.3,2,2,100.0,61.2,3,7,2,3,=+2
Jonas Valančiūnas,"Tue
3/26",NOP,vs,OKC,"L
112-119",11,6,6,1,0,0,2,4,50.0,0,1,0.0,2,3,66.7,56.4,2,4,0,0,-11
Jonas Valančiūnas,"Sun
3/24",NOP,@,DET,"W
114-101",20,13,6,0,0,1,6,10,60.0,0,1,0.0,1,3,33.3,57.4,1,5,1,5,=+6
Jonas Valančiūnas,"Fri
3/22",NOP,@,MIA,"W
111-88",22,8,10,0,0,0,4,4,100.0,0,0,,0,0,,100.0,0,10,0,4,=+14
Jonas Valančiūnas,"Thu
3/21",NOP,@,ORL,"L
106-121",18,6,5,1,1,0,3,4,75.0,0,1,0.0,0,0,,75.0,0,5,1,3,=+4
Jonas Valančiūnas,"Tue
3/19",NOP,@,BKN,"W
104-91",17,8,7,2,0,1,4,7,57.1,0,1,0.0,0,0,,57.1,2,5,1,2,=+1
Jonas Valančiūnas,"Sat
3/16",NOP,vs,POR,"W
126-107",19,4,3,5,0,0,2,3,66.7,0,1,0.0,0,0,,66.7,1,2,2,2,-12
