PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Jaren Jackson Jr.,"Wed
10/25",MEM,vs,NOP,"L
104-111",36,8,5,3,0,5,2,9,22.2,0,5,0.0,4,4,100.0,37.2,1,4,3,5,-1
Jaren Jackson Jr.,"Fri
10/27",MEM,vs,DEN,"L
104-108",28,21,9,2,0,3,9,13,69.2,2,2,100.0,1,2,50.0,75.6,2,7,0,5,-1
Jaren Jackson Jr.,"Sat
10/28",MEM,@,WAS,"L
106-113",31,16,5,2,1,1,4,12,33.3,2,4,50.0,6,6,100.0,54.6,0,5,1,4,=+5
Jaren Jackson Jr.,"Mon
10/30",MEM,vs,DAL,"L
110-125",34,30,9,4,0,2,10,20,50.0,3,6,50.0,7,9,77.8,62.6,2,7,1,3,-25
Jaren Jackson Jr.,"Wed
11/29",MEM,vs,UTA,"W
105-91",35,20,6,1,1,6,8,19,42.1,0,3,0.0,4,4,100.0,48.2,3,3,1,2,=+14
Jaren Jackson Jr.,"Sun
11/26",MEM,vs,MIN,"L
97-119",37,18,4,3,1,3,4,14,28.6,2,6,33.3,8,10,80.0,48.9,0,4,2,3,-9
Jaren Jackson Jr.,"Fri
11/24",MEM,vs,PHX,"L
89-110",29,13,7,2,1,0,5,13,38.5,1,4,25.0,2,4,50.0,44.0,4,3,3,5,-12
Jaren Jackson Jr.,"Wed
11/22",MEM,@,HOU,"L
91-111",37,23,7,0,1,1,7,21,33.3,0,4,0.0,9,12,75.0,43.8,1,6,2,4,-20
Jaren Jackson Jr.,"Sun
11/19",MEM,vs,BOS,"L
100-102",34,17,8,1,1,1,5,12,41.7,1,3,33.3,6,7,85.7,56.4,2,6,2,5,-1
Jaren Jackson Jr.,"Sat
11/18",MEM,@,SAS,"W
120-108",27,27,5,0,1,1,7,20,35.0,2,8,25.0,11,12,91.7,53.4,3,2,2,3,=+10
Jaren Jackson Jr.,"Tue
11/14",MEM,@,LAL,"L
107-134",22,8,2,2,0,1,3,16,18.8,2,6,33.3,0,0,,25.0,2,0,1,2,-16
Jaren Jackson Jr.,"Sun
11/12",MEM,@,LAC,"W
105-101",29,12,4,1,1,1,3,15,20.0,0,3,0.0,6,6,100.0,34.0,0,4,3,4,-3
Jaren Jackson Jr.,"Fri
11/10",MEM,vs,UTA,"L
121-127",23,14,4,2,0,0,7,13,53.8,0,2,0.0,0,0,,53.8,2,2,2,2,-11
Jaren Jackson Jr.,"Wed
11/8",MEM,vs,MIA,"L
102-108",33,28,4,2,0,1,9,18,50.0,2,8,25.0,8,10,80.0,62.5,2,2,1,5,-5
Jaren Jackson Jr.,"Sun
11/5",MEM,@,POR,"W
112-100",37,27,7,2,1,1,11,18,61.1,1,4,25.0,4,6,66.7,65.4,3,4,2,1,=+11
Jaren Jackson Jr.,"Fri
11/3",MEM,@,POR,"L
113-115",38,30,10,3,1,3,11,17,64.7,5,8,62.5,3,6,50.0,76.4,2,8,4,1,=+3
Jaren Jackson Jr.,"Wed
11/1",MEM,@,UTA,"L
109-133",26,19,8,2,0,1,5,17,29.4,1,8,12.5,8,8,100.0,46.3,3,5,2,3,-25
Jaren Jackson Jr.,"Sun
12/31",MEM,vs,SAC,"L
92-123",29,18,3,1,1,0,6,14,42.9,1,4,25.0,5,6,83.3,54.1,0,3,0,3,-13
Jaren Jackson Jr.,"Fri
12/29",MEM,@,LAC,"L
106-117",37,22,2,4,2,2,8,17,47.1,4,6,66.7,2,2,100.0,61.5,0,2,1,5,-11
Jaren Jackson Jr.,"Thu
12/28",MEM,@,DEN,"L
105-142",28,14,4,2,2,0,5,15,33.3,1,3,33.3,3,4,75.0,41.8,1,3,0,1,-11
Jaren Jackson Jr.,"Tue
12/26",MEM,@,NOP,"W
116-115",39,19,10,1,1,1,5,11,45.5,0,3,0.0,9,10,90.0,61.7,1,9,3,5,=+6
Jaren Jackson Jr.,"Sat
12/23",MEM,@,ATL,"W
125-119",24,20,2,0,0,0,8,10,80.0,1,2,50.0,3,4,75.0,85.0,2,0,2,5,0
Jaren Jackson Jr.,"Thu
12/21",MEM,vs,IND,"W
116-103",33,21,8,1,1,0,8,10,80.0,2,4,50.0,3,3,100.0,92.8,2,6,7,4,-8
Jaren Jackson Jr.,"Tue
12/19",MEM,@,NOP,"W
115-113",30,24,6,0,0,3,6,10,60.0,1,3,33.3,11,15,73.3,72.3,1,5,2,4,-2
Jaren Jackson Jr.,"Mon
12/18",MEM,@,OKC,"L
97-116",25,11,5,1,1,0,3,7,42.9,1,4,25.0,4,5,80.0,59.8,0,5,2,3,-15
Jaren Jackson Jr.,"Fri
12/15",MEM,vs,HOU,"L
96-103",33,22,3,2,0,4,8,23,34.8,0,7,0.0,6,7,85.7,42.2,1,2,1,5,-6
Jaren Jackson Jr.,"Wed
12/13",MEM,@,HOU,"L
104-117",40,44,7,2,4,1,15,24,62.5,3,8,37.5,11,13,84.6,74.0,1,6,3,4,-1
Jaren Jackson Jr.,"Mon
12/11",MEM,vs,DAL,"L
113-120",42,41,4,2,2,2,15,29,51.7,6,10,60.0,5,5,100.0,65.7,0,4,2,3,-2
Jaren Jackson Jr.,"Fri
12/8",MEM,vs,MIN,"L
103-127",29,21,2,1,1,1,7,14,50.0,3,4,75.0,4,4,100.0,66.6,1,1,2,5,-19
Jaren Jackson Jr.,"Wed
12/6",MEM,@,DET,"W
116-102",35,24,4,0,0,3,10,20,50.0,2,6,33.3,2,3,66.7,56.3,0,4,0,3,=+15
Jaren Jackson Jr.,"Sat
12/2",MEM,@,PHX,"L
109-116",35,37,9,2,1,1,13,21,61.9,2,5,40.0,9,10,90.0,72.8,1,8,4,4,-7
Jaren Jackson Jr.,"Fri
12/1",MEM,@,DAL,"W
108-94",14,4,4,2,0,2,2,8,25.0,0,3,0.0,0,0,,25.0,1,3,1,5,0
Jaren Jackson Jr.,"Mon
1/29",MEM,vs,SAC,"L
94-103",32,22,3,2,0,0,6,18,33.3,0,4,0.0,10,12,83.3,47.3,0,3,3,5,-5
Jaren Jackson Jr.,"Sun
1/28",MEM,@,IND,"L
110-116",32,25,5,4,2,1,7,17,41.2,0,3,0.0,11,12,91.7,56.1,0,5,4,5,=+10
Jaren Jackson Jr.,"Fri
1/26",MEM,vs,ORL,"W
107-106",35,30,8,2,1,1,13,30,43.3,1,5,20.0,3,4,75.0,47.2,3,5,3,3,=+5
Jaren Jackson Jr.,"Wed
1/24",MEM,@,MIA,"W
105-96",35,15,6,3,1,1,5,21,23.8,1,7,14.3,4,5,80.0,32.3,0,6,5,1,=+11
Jaren Jackson Jr.,"Mon
1/22",MEM,@,TOR,"W
108-100",32,27,4,5,6,1,12,22,54.5,2,5,40.0,1,3,33.3,57.9,3,1,4,4,0
Jaren Jackson Jr.,"Sat
1/20",MEM,@,CHI,"L
96-125",33,26,6,5,1,0,8,18,44.4,1,7,14.3,9,9,100.0,59.2,1,5,2,3,-5
Jaren Jackson Jr.,"Thu
1/18",MEM,@,MIN,"L
103-118",27,36,3,1,0,1,15,23,65.2,3,6,50.0,3,5,60.0,71.4,1,2,3,5,-10
Jaren Jackson Jr.,"Mon
1/15",MEM,vs,GSW,"W
116-107",33,18,5,5,4,1,4,20,20.0,3,14,21.4,7,8,87.5,38.3,0,5,1,1,-9
Jaren Jackson Jr.,"Fri
1/12",MEM,vs,LAC,"L
119-128",30,21,6,1,1,1,6,20,30.0,1,8,12.5,8,10,80.0,43.0,2,4,1,1,-14
Jaren Jackson Jr.,"Sun
1/7",MEM,@,PHX,"W
121-115",32,28,10,6,0,1,11,20,55.0,3,8,37.5,3,4,75.0,64.3,1,9,2,5,=+25
Jaren Jackson Jr.,"Fri
1/5",MEM,@,LAL,"W
127-113",30,31,9,1,0,3,11,14,78.6,5,6,83.3,4,4,100.0,98.4,0,9,3,5,=+1
Jaren Jackson Jr.,"Wed
1/3",MEM,vs,TOR,"L
111-116",37,24,4,0,1,4,7,18,38.9,4,8,50.0,6,6,100.0,58.1,1,3,3,1,=+5
Jaren Jackson Jr.,"Tue
1/2",MEM,vs,SAS,"W
106-98",32,10,7,1,3,4,3,14,21.4,1,4,25.0,3,4,75.0,31.7,1,6,1,4,=+2
Jaren Jackson Jr.,"Wed
2/28",MEM,@,MIN,"L
101-110",38,33,13,1,3,1,11,23,47.8,3,10,30.0,8,10,80.0,60.2,4,9,2,5,-7
Jaren Jackson Jr.,"Mon
2/26",MEM,vs,BKN,"L
86-111",30,15,4,1,2,1,2,12,16.7,1,2,50.0,10,13,76.9,42.3,1,3,3,1,-17
Jaren Jackson Jr.,"Fri
2/23",MEM,vs,LAC,"L
95-101",32,29,4,5,4,0,11,25,44.0,2,7,28.6,5,7,71.4,51.6,1,3,2,2,-5
Jaren Jackson Jr.,"Wed
2/14",MEM,vs,HOU,"W
121-113",28,18,2,3,0,1,7,12,58.3,3,6,50.0,1,2,50.0,69.9,0,2,4,5,=+9
Jaren Jackson Jr.,"Mon
2/12",MEM,vs,NOP,"L
87-96",36,22,6,3,1,0,8,19,42.1,2,8,25.0,4,5,80.0,51.9,0,6,4,2,-20
Jaren Jackson Jr.,"Sat
2/10",MEM,@,CHA,"L
106-115",34,29,3,3,1,2,12,23,52.2,5,9,55.6,0,0,,63.0,1,2,5,4,=+2
Jaren Jackson Jr.,"Thu
2/8",MEM,vs,CHI,"L
110-118",32,28,2,4,0,1,11,22,50.0,4,10,40.0,2,5,40.0,57.9,1,1,4,6,-8
Jaren Jackson Jr.,"Fri
2/2",MEM,vs,GSW,"L
101-121",31,27,5,2,2,2,8,21,38.1,2,9,22.2,9,11,81.8,52.2,0,5,2,2,-7
Jaren Jackson Jr.,"Thu
2/1",MEM,vs,CLE,"L
101-108",34,25,5,5,1,3,10,23,43.5,2,6,33.3,3,4,75.0,50.5,0,5,5,4,-11
Jaren Jackson Jr.,"Sat
3/30",MEM,@,ORL,"L
88-118",26,4,4,1,1,1,1,9,11.1,0,3,0.0,2,2,100.0,20.2,1,3,3,3,-34
Jaren Jackson Jr.,"Wed
3/27",MEM,vs,LAL,"L
124-136",35,17,9,3,3,1,6,16,37.5,0,4,0.0,5,6,83.3,45.6,4,5,1,5,-26
Jaren Jackson Jr.,"Mon
3/25",MEM,@,DEN,"L
103-128",26,11,4,5,2,4,4,18,22.2,1,7,14.3,2,4,50.0,27.8,3,1,1,4,-22
Jaren Jackson Jr.,"Fri
3/22",MEM,@,SAS,"W
99-97",36,28,7,2,1,2,11,22,50.0,2,6,33.3,4,6,66.7,56.8,2,5,4,4,=+7
Jaren Jackson Jr.,"Wed
3/20",MEM,@,GSW,"L
116-137",31,28,4,3,1,0,13,21,61.9,1,4,25.0,1,2,50.0,64.0,1,3,2,4,-27
Jaren Jackson Jr.,"Mon
3/18",MEM,@,SAC,"L
111-121",39,25,2,4,1,4,8,27,29.6,1,6,16.7,8,9,88.9,40.4,1,1,4,6,-2
Jaren Jackson Jr.,"Sat
3/16",MEM,vs,OKC,"L
112-118",36,19,6,7,2,1,7,11,63.6,3,4,75.0,2,2,100.0,80.0,0,6,5,4,0
Jaren Jackson Jr.,"Sun
3/10",MEM,@,OKC,"L
93-124",28,16,2,2,0,1,4,10,40.0,3,5,60.0,5,8,62.5,59.2,1,1,4,3,-31
Jaren Jackson Jr.,"Fri
3/8",MEM,vs,ATL,"L
92-99",35,21,9,3,3,2,8,19,42.1,0,2,0.0,5,8,62.5,46.6,2,7,2,4,-13
Jaren Jackson Jr.,"Wed
3/6",MEM,@,PHI,"W
115-109",37,30,11,1,0,6,10,25,40.0,2,7,28.6,8,10,80.0,51.0,3,8,3,4,=+10
Jaren Jackson Jr.,"Wed
4/3",MEM,@,MIL,"W
111-101",37,35,3,4,3,1,14,26,53.8,2,7,28.6,5,6,83.3,61.1,0,3,0,2,=+19
Jaren Jackson Jr.,"Mon
4/1",MEM,@,DET,"W
110-108",34,40,7,3,3,2,13,23,56.5,2,3,66.7,12,14,85.7,68.6,2,5,3,2,-13
Dejounte Murray,"Mon
10/30",ATL,vs,MIN,"W
127-113",39,41,7,5,2,0,17,24,70.8,3,5,60.0,4,4,100.0,79.6,0,7,3,1,=+25
Dejounte Murray,"Sun
10/29",ATL,@,MIL,"W
127-110",30,15,1,5,2,1,6,12,50.0,1,5,20.0,2,2,100.0,58.2,0,1,3,0,=+26
Dejounte Murray,"Fri
10/27",ATL,vs,NYK,"L
120-126",35,18,7,6,1,1,8,17,47.1,0,3,0.0,2,3,66.7,49.1,2,5,1,1,-6
Dejounte Murray,"Wed
10/25",ATL,@,CHA,"L
110-116",33,11,2,6,0,0,3,14,21.4,0,3,0.0,5,6,83.3,33.1,0,2,1,0,-15
Dejounte Murray,"Thu
11/30",ATL,@,SAS,"W
137-135",35,24,3,2,5,0,10,21,47.6,2,4,50.0,2,2,100.0,54.8,0,3,0,1,-1
Dejounte Murray,"Tue
11/28",ATL,@,CLE,"L
105-128",31,13,3,1,2,1,5,14,35.7,3,7,42.9,0,0,,46.4,1,2,3,0,-21
Dejounte Murray,"Sun
11/26",ATL,@,BOS,"L
103-113",34,6,4,3,0,0,2,13,15.4,0,6,0.0,2,2,100.0,21.6,2,2,3,1,-7
Dejounte Murray,"Sat
11/25",ATL,@,WAS,"W
136-108",27,11,5,10,4,0,4,14,28.6,1,6,16.7,2,2,100.0,37.0,0,5,0,0,=+19
Dejounte Murray,"Wed
11/22",ATL,vs,BKN,"W
147-145",39,20,6,8,2,0,6,21,28.6,3,8,37.5,5,5,100.0,43.1,3,3,1,4,0
Dejounte Murray,"Tue
11/21",ATL,vs,IND,"L
152-157",34,28,3,5,2,0,11,19,57.9,4,6,66.7,2,2,100.0,70.4,1,2,5,3,-7
Dejounte Murray,"Fri
11/17",ATL,vs,PHI,"L
116-126",35,13,1,3,1,0,5,16,31.3,3,7,42.9,0,0,,40.6,0,1,3,2,-18
Dejounte Murray,"Wed
11/15",ATL,vs,NYK,"L
114-116",32,13,5,2,1,0,6,12,50.0,0,3,0.0,1,3,33.3,48.8,0,5,1,1,-16
Dejounte Murray,"Tue
11/14",ATL,@,DET,"W
126-120",37,32,5,10,3,0,11,21,52.4,1,4,25.0,9,9,100.0,64.1,0,5,2,2,=+9
Dejounte Murray,"Sat
11/11",ATL,vs,MIA,"L
109-117",36,23,5,5,3,1,9,16,56.3,5,9,55.6,0,1,0.0,70.0,0,5,3,1,-9
Dejounte Murray,"Thu
11/9",ATL,@,ORL,"W
120-119",33,16,3,2,2,0,6,15,40.0,3,7,42.9,1,2,50.0,50.4,0,3,4,2,=+5
Dejounte Murray,"Mon
11/6",ATL,@,OKC,"L
117-126",33,29,4,6,1,0,7,16,43.8,6,9,66.7,9,10,90.0,71.1,2,2,3,4,-3
Dejounte Murray,"Sat
11/4",ATL,@,NOP,"W
123-105",37,20,8,7,0,0,8,20,40.0,2,9,22.2,2,2,100.0,47.9,2,6,3,1,=+13
Dejounte Murray,"Wed
11/1",ATL,vs,WAS,"W
130-121",34,24,4,8,1,1,10,15,66.7,3,5,60.0,1,2,50.0,75.6,0,4,4,2,=+15
Dejounte Murray,"Sun
12/31",ATL,@,WAS,"W
130-126",34,32,6,3,0,0,13,21,61.9,3,6,50.0,3,5,60.0,69.0,1,5,1,1,0
Dejounte Murray,"Fri
12/29",ATL,vs,SAC,"L
110-117",37,18,6,3,1,0,7,20,35.0,4,8,50.0,0,0,,45.0,1,5,3,3,=+5
Dejounte Murray,"Tue
12/26",ATL,@,CHI,"L
113-118",34,17,6,4,2,1,6,15,40.0,2,9,22.2,3,4,75.0,50.7,0,6,3,4,0
Dejounte Murray,"Sat
12/23",ATL,vs,MEM,"L
119-125",35,26,4,4,2,0,10,15,66.7,4,6,66.7,2,2,100.0,81.9,1,3,3,4,-4
Dejounte Murray,"Fri
12/22",ATL,@,MIA,"L
113-122",34,24,8,6,3,0,10,20,50.0,3,9,33.3,1,3,33.3,56.3,1,7,2,0,-3
Dejounte Murray,"Wed
12/20",ATL,@,HOU,"W
134-127",35,21,3,5,0,1,7,15,46.7,3,8,37.5,4,5,80.0,61.0,2,1,3,2,-8
Dejounte Murray,"Mon
12/18",ATL,vs,DET,"W
130-124",33,20,3,3,1,1,8,13,61.5,3,5,60.0,1,2,50.0,72.0,0,3,1,2,=+2
Dejounte Murray,"Sat
12/16",ATL,@,CLE,"L
119-127",37,21,3,6,1,1,8,19,42.1,0,5,0.0,5,6,83.3,48.5,0,3,0,2,-3
Dejounte Murray,"Fri
12/15",ATL,@,TOR,"W
125-104",33,17,7,9,1,0,8,18,44.4,1,6,16.7,0,0,,47.2,1,6,1,3,=+18
Dejounte Murray,"Wed
12/13",ATL,@,TOR,"L
128-135",34,20,3,5,0,2,8,17,47.1,4,9,44.4,0,1,0.0,57.3,0,3,0,2,-17
Dejounte Murray,"Mon
12/11",ATL,vs,DEN,"L
122-129",38,21,6,3,1,0,8,22,36.4,3,8,37.5,2,2,100.0,45.9,4,2,2,2,-6
Dejounte Murray,"Fri
12/8",ATL,@,PHI,"L
114-125",36,20,4,9,1,0,7,17,41.2,2,5,40.0,4,4,100.0,53.3,1,3,4,1,-7
Dejounte Murray,"Wed
12/6",ATL,vs,BKN,"L
113-114",32,13,10,9,1,0,6,16,37.5,1,5,20.0,0,0,,40.6,0,10,0,3,=+2
Dejounte Murray,"Sat
12/2",ATL,@,MIL,"L
121-132",34,30,2,3,2,0,12,19,63.2,4,6,66.7,2,2,100.0,75.5,0,2,2,0,-7
Dejounte Murray,"Tue
1/30",ATL,vs,LAL,"W
138-122",33,24,4,9,2,0,11,19,57.9,0,4,0.0,2,2,100.0,60.4,0,4,3,1,=+19
Dejounte Murray,"Fri
1/26",ATL,vs,DAL,"L
143-148",37,22,5,7,0,0,9,18,50.0,3,7,42.9,1,2,50.0,58.3,1,4,3,3,-21
Dejounte Murray,"Wed
1/24",ATL,@,GSW,"L
112-134",33,23,7,7,1,0,7,19,36.8,2,7,28.6,7,8,87.5,51.1,3,4,2,2,-13
Dejounte Murray,"Mon
1/22",ATL,@,SAC,"L
107-122",40,35,10,6,0,1,11,23,47.8,6,10,60.0,7,8,87.5,66.0,0,10,4,1,-4
Dejounte Murray,"Sat
1/20",ATL,vs,CLE,"L
95-116",35,24,9,5,1,0,10,19,52.6,2,7,28.6,2,2,100.0,60.4,0,9,2,2,-20
Dejounte Murray,"Fri
1/19",ATL,@,MIA,"W
109-108",40,22,3,11,2,0,9,22,40.9,3,7,42.9,1,1,100.0,49.0,0,3,2,2,=+3
Dejounte Murray,"Wed
1/17",ATL,vs,ORL,"W
106-104",36,26,5,5,2,0,11,18,61.1,1,4,25.0,3,3,100.0,67.3,1,4,5,1,-2
Dejounte Murray,"Mon
1/15",ATL,vs,SAS,"W
109-99",33,13,13,0,0,1,6,15,40.0,1,6,16.7,0,0,,43.3,0,13,2,3,0
Dejounte Murray,"Sat
1/13",ATL,vs,WAS,"L
99-127",31,13,5,3,0,0,4,15,26.7,1,6,16.7,4,4,100.0,38.8,0,5,2,1,-22
Dejounte Murray,"Fri
1/12",ATL,vs,IND,"L
108-126",32,29,4,4,3,0,13,18,72.2,3,6,50.0,0,0,,80.6,0,4,3,2,-1
Dejounte Murray,"Wed
1/10",ATL,vs,PHI,"W
139-132",38,25,5,5,1,0,8,18,44.4,5,7,71.4,4,4,100.0,63.3,0,5,1,2,=+1
Dejounte Murray,"Sun
1/7",ATL,@,ORL,"L
110-117",40,24,6,2,0,0,9,20,45.0,0,2,0.0,6,10,60.0,49.2,0,6,3,2,-14
Dejounte Murray,"Fri
1/5",ATL,@,IND,"L
116-150",34,30,1,2,0,0,13,19,68.4,2,3,66.7,2,2,100.0,75.5,0,1,1,0,-20
Dejounte Murray,"Wed
1/3",ATL,vs,OKC,"W
141-138",35,22,6,6,0,0,8,18,44.4,2,5,40.0,4,4,100.0,55.7,2,4,3,2,=+4
