PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Luka Dončić,"Wed
4/10",DAL,@,MIA,"W
111-92",36,29,9,9,0,0,9,23,39.1,4,15,26.7,7,8,87.5,54.7,1,8,3,4,7
Luka Dončić,"Tue
4/9",DAL,@,CHA,"W
130-104",35,39,12,10,0,1,13,25,52,8,17,47.1,5,7,71.4,69.4,2,10,4,2,22
Luka Dončić,"Sun
4/7",DAL,vs,HOU,"W
147-136",45,37,9,12,0,2,12,21,57.1,4,10,40,9,9,100,74.1,2,7,7,5,20
Luka Dončić,"Thu
4/4",DAL,vs,ATL,"W
109-95",37,25,12,8,2,1,8,25,32,6,15,40,3,3,100,47.5,0,12,5,3,21
Luka Dončić,"Tue
4/2",DAL,@,GSW,"L
100-104",39,30,12,11,0,0,11,22,50,5,11,45.5,3,4,75,63.1,1,11,5,1,9
Luka Dončić,"Sun
3/31",DAL,@,HOU,"W
125-107",35,47,12,7,2,0,18,30,60,9,16,56.3,2,5,40,73,0,12,4,1,12
Luka Dončić,"Fri
3/29",DAL,@,SAC,"W
107-103",41,26,9,12,2,0,6,14,42.9,4,8,50,10,14,71.4,64.5,0,9,5,2,6
Luka Dončić,"Tue
3/26",DAL,@,SAC,"W
132-96",32,28,11,6,2,0,10,18,55.6,4,8,50,4,5,80,69.3,1,10,4,4,18
Luka Dončić,"Mon
3/25",DAL,@,UTA,"W
115-105",41,29,12,13,1,1,10,24,41.7,2,11,18.2,7,8,87.5,52.7,2,10,4,3,10
Luka Dončić,"Thu
3/21",DAL,vs,UTA,"W
113-97",35,34,9,8,4,0,11,23,47.8,4,10,40,8,12,66.7,60.1,1,8,4,2,-3
Luka Dončić,"Tue
3/19",DAL,@,SAS,"W
113-107",40,18,10,16,1,0,6,27,22.2,2,12,16.7,4,5,80,30.8,0,10,4,0,5
