PLAYER NAME,DATE,MIN,PTS,REB,TOV
Luka Dončić,2024-04-07,45,37,9,7.0
Luka Dončić,2024-04-04,37,25,12,5.0
Luka Dončić,2024-04-02,39,30,12,5.0
Luka Dončić,2024-03-31,35,47,12,4.0
Luka Dončić,2024-03-29,41,26,9,5.0
Luka Dončić,2024-03-21,35,34,9,4.0
Luka Dončić,2024-03-19,40,18,10,4.0
Luka Dončić,2024-03-17,40,37,10,3.0
Luka Dončić,2024-03-13,30,21,3,6.0
Luka Dončić,2024-03-11,34,27,12,2.0
Luka Dončić,2024-03-09,37,39,10,6.0
Luka Dončić,2024-03-07,40,35,11,4.0
Luka Dončić,2024-03-05,43,39,10,5.0
Luka Dončić,2024-03-03,40,38,11,7.0
Luka Dončić,2024-03-01,37,37,12,2.0
Luka Dončić,2024-02-25,33,33,6,3.0
Luka Dončić,2024-02-22,38,41,9,3.0
Luka Dončić,2024-02-14,31,27,9,5.0
Luka Dončić,2024-02-12,37,26,11,5.0
Luka Dončić,2024-02-10,31,32,8,3.0
Luka Dončić,2024-02-08,40,39,8,3.0
Luka Dončić,2024-02-03,42,40,9,9.0
Luka Dončić,2024-01-29,43,45,9,4.0
Luka Dončić,2024-01-24,39,34,8,5.0
Luka Dončić,2024-01-22,40,33,18,3.0
Luka Dončić,2024-01-17,36,33,13,4.0
Luka Dončić,2024-01-09,36,31,6,3.0
Luka Dončić,2024-01-07,39,34,6,3.0
Luka Dončić,2024-01-03,31,41,6,4.0
Luka Dončić,2024-01-01,34,19,6,4.0
Luka Dončić,2023-12-30,38,39,8,4.0
Luka Dončić,2023-12-27,37,39,7,5.0
Luka Dončić,2023-12-25,44,50,6,4.0
Luka Dončić,2023-12-23,32,39,12,2.0
Luka Dončić,2023-12-20,44,28,9,5.0
Luka Dončić,2023-12-18,36,38,11,3.0
Luka Dončić,2023-12-16,37,40,12,4.0
Luka Dončić,2023-12-14,39,39,6,8.0
Luka Dončić,2023-12-08,41,32,6,5.0
Luka Dončić,2023-12-06,32,40,10,4.0
Luka Dončić,2023-12-02,46,36,15,7.0
Luka Dončić,2023-11-28,38,41,9,0.0
Luka Dončić,2023-11-25,38,30,3,4.0
Luka Dončić,2023-11-22,39,30,12,0.0
Luka Dončić,2023-11-12,28,30,4,2.0
Luka Dončić,2023-11-10,32,44,6,1.0
Luka Dončić,2023-11-08,38,31,7,4.0
Luka Dončić,2023-11-03,38,34,10,9.0
Luka Dončić,2023-11-01,40,18,7,6.0
Luka Dončić,2023-10-30,40,35,12,6.0
Luka Dončić,2023-10-27,36,49,10,0.0
Luka Dončić,2023-10-25,34,33,13,4.0
Giannis Antetokounmpo,2024-04-09,29,15,8,4.0
Giannis Antetokounmpo,2024-04-07,39,28,15,4.0
Giannis Antetokounmpo,2024-03-30,38,36,16,3.0
Giannis Antetokounmpo,2024-03-28,39,35,14,2.0
Giannis Antetokounmpo,2024-03-26,46,29,21,7.0
Giannis Antetokounmpo,2024-03-24,34,30,19,3.0
Giannis Antetokounmpo,2024-03-21,35,21,9,2.0
Giannis Antetokounmpo,2024-03-14,37,32,11,7.0
Giannis Antetokounmpo,2024-03-12,33,30,13,4.0
Giannis Antetokounmpo,2024-03-10,39,34,7,3.0
Giannis Antetokounmpo,2024-03-08,39,34,14,4.0
Giannis Antetokounmpo,2024-03-06,33,23,7,2.0
Giannis Antetokounmpo,2024-02-27,24,24,8,1.0
Giannis Antetokounmpo,2024-02-25,36,30,12,6.0
Giannis Antetokounmpo,2024-02-23,41,33,13,3.0
Giannis Antetokounmpo,2024-02-15,37,35,4,1.0
Giannis Antetokounmpo,2024-02-06,39,34,10,5.0
Giannis Antetokounmpo,2024-01-31,38,27,8,6.0
Giannis Antetokounmpo,2024-01-29,37,29,12,2.0
Giannis Antetokounmpo,2024-01-24,35,35,18,2.0
Giannis Antetokounmpo,2024-01-22,36,31,17,2.0
Giannis Antetokounmpo,2024-01-20,38,31,10,5.0
Giannis Antetokounmpo,2024-01-11,26,24,12,4.0
Giannis Antetokounmpo,2024-01-08,38,25,10,4.0
Giannis Antetokounmpo,2024-01-06,39,48,17,2.0
Giannis Antetokounmpo,2024-01-01,37,30,18,4.0
Giannis Antetokounmpo,2023-12-29,37,34,16,3.0
Giannis Antetokounmpo,2023-12-27,30,32,10,2.0
Giannis Antetokounmpo,2023-12-25,39,32,13,2.0
Giannis Antetokounmpo,2023-12-23,32,28,7,5.0
Giannis Antetokounmpo,2023-12-21,37,37,10,5.0
Giannis Antetokounmpo,2023-12-19,34,11,14,3.0
Giannis Antetokounmpo,2023-12-13,37,64,14,4.0
Giannis Antetokounmpo,2023-12-11,41,32,12,2.0
Giannis Antetokounmpo,2023-12-07,41,37,10,1.0
Giannis Antetokounmpo,2023-12-05,34,35,8,4.0
Giannis Antetokounmpo,2023-12-02,36,32,11,5.0
Giannis Antetokounmpo,2023-11-30,39,26,14,5.0
Giannis Antetokounmpo,2023-11-28,40,33,10,4.0
Giannis Antetokounmpo,2023-11-26,39,33,16,4.0
Giannis Antetokounmpo,2023-11-24,37,31,9,3.0
Giannis Antetokounmpo,2023-11-22,37,21,13,3.0
