#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Luka Dončić,Dallas Mavericks,70,37.5,33.9,11.5,23.6,48.7,4.1,10.6,38.2,6.8,8.7,78.6,0.8,8.4,9.2,9.8,1.4,0.5,4.0,36.9
2,Giannis Antetokounmpo,Milwaukee Bucks,73,35.2,30.4,11.5,18.8,61.1,0.5,1.7,27.4,7.0,10.7,65.7,2.7,8.8,11.5,6.5,1.2,1.1,3.4,36.4
3,Shai Gilgeous-Alexander,Oklahoma City Thunder,75,34.0,30.1,10.6,19.8,53.5,1.3,3.6,35.3,7.6,8.7,87.4,0.9,4.7,5.5,6.2,2.0,0.9,2.2,32.2
4,Jalen Brunson,New York Knicks,77,35.4,28.7,10.3,21.4,47.9,2.7,6.8,40.1,5.5,6.5,84.7,0.6,3.1,3.6,6.7,0.9,0.2,2.4,25.6
5,Kevin Durant,Phoenix Suns,75,37.2,27.1,10.0,19.1,52.3,2.2,5.4,41.3,4.8,5.6,85.6,0.5,6.1,6.6,5.0,0.9,1.2,3.3,27.7
6,Devin Booker,Phoenix Suns,68,36.0,27.1,9.4,19.2,49.2,2.2,6.1,36.4,6.0,6.7,88.6,0.8,3.7,4.5,6.9,0.9,0.4,2.6,26.7
7,Jayson Tatum,Boston Celtics,74,35.7,26.9,9.1,19.3,47.1,3.1,8.2,37.6,5.6,6.7,83.3,0.9,7.2,8.1,4.9,1.0,0.6,2.5,27.6
8,De'Aaron Fox,Sacramento Kings,74,35.9,26.6,9.7,20.9,46.5,2.9,7.8,36.9,4.2,5.7,73.8,0.9,3.7,4.6,5.6,2.0,0.4,2.6,23.9
9,Stephen Curry,Golden State Warriors,74,32.7,26.4,8.8,19.5,45.0,4.8,11.8,40.8,4.0,4.4,92.3,0.5,4.0,4.5,5.1,0.7,0.4,2.8,23.2
10,Nikola Jokić,Denver Nuggets,79,34.6,26.4,10.4,17.9,58.3,1.1,2.9,35.9,4.5,5.5,81.7,2.8,9.5,12.4,9.0,1.4,0.9,3.0,38.5
11,Tyrese Maxey,Philadelphia 76ers,70,37.5,25.9,9.1,20.3,45.0,3.0,8.1,37.3,4.7,5.4,86.8,0.5,3.2,3.7,6.2,1.0,0.5,1.7,23.7
12,Anthony Edwards,Minnesota Timberwolves,79,35.1,25.9,9.1,19.7,46.1,2.4,6.7,35.7,5.4,6.4,83.6,0.7,4.8,5.4,5.1,1.3,0.5,3.1,23.6
13,LeBron James,Los Angeles Lakers,71,35.3,25.7,9.6,17.9,54.0,2.1,5.1,41.0,4.3,5.7,75.0,0.9,6.4,7.3,8.3,1.3,0.5,3.5,29.9
14,Kyrie Irving,Dallas Mavericks,58,35.0,25.6,9.7,19.5,49.7,3.0,7.3,41.1,3.3,3.6,90.5,0.8,4.2,5.0,5.2,1.3,0.5,1.8,25.6
15,Anthony Davis,Los Angeles Lakers,76,35.5,24.7,9.4,16.9,55.6,0.4,1.4,27.1,5.5,6.8,81.6,3.1,9.5,12.6,3.5,1.2,2.3,2.1,33.5
16,Damian Lillard,Milwaukee Bucks,73,35.3,24.3,7.4,17.5,42.4,3.0,8.5,35.4,6.5,7.0,92.0,0.5,3.9,4.4,7.0,1.0,0.2,2.6,23.6
17,DeMar DeRozan,Chicago Bulls,79,37.8,24.0,8.2,17.2,48.0,0.9,2.8,33.3,6.6,7.7,85.3,0.5,3.8,4.3,5.3,1.1,0.6,1.7,23.6
18,Kawhi Leonard,Los Angeles Clippers,68,34.3,23.7,9.0,17.1,52.5,2.1,4.9,41.7,3.7,4.2,88.5,1.2,4.9,6.1,3.6,1.6,0.9,1.8,25.6
19,Jaylen Brown,Boston Celtics,70,33.5,23.0,9.0,17.9,49.9,2.1,5.9,35.4,3.0,4.3,70.3,1.2,4.3,5.5,3.6,1.2,0.5,2.4,21.2
20,Zion Williamson,New Orleans Pelicans,70,31.5,22.9,8.9,15.6,57.0,0.1,0.3,33.3,5.0,7.1,70.2,1.7,4.1,5.8,5.0,1.1,0.7,2.8,23.9
21,Cade Cunningham,Detroit Pistons,62,33.5,22.7,8.5,18.8,44.9,1.9,5.4,35.5,3.8,4.4,86.9,0.5,3.8,4.3,7.5,0.9,0.4,3.4,21.4
22,Paul George,Los Angeles Clippers,74,33.8,22.6,7.9,16.7,47.1,3.3,7.9,41.3,3.6,3.9,90.7,0.5,4.7,5.2,3.5,1.5,0.5,2.1,22.1
23,Paolo Banchero,Orlando Magic,80,35.0,22.6,8.0,17.6,45.5,1.5,4.4,33.9,5.1,7.0,72.5,1.0,5.9,6.9,5.4,0.9,0.6,3.1,21.7
24,Jaren Jackson Jr.,Memphis Grizzlies,66,32.2,22.5,7.8,17.6,44.4,1.8,5.5,32.0,5.1,6.3,80.8,1.3,4.2,5.5,2.3,1.2,1.6,2.4,19.8
25,Dejounte Murray,Atlanta Hawks,78,35.7,22.5,8.6,18.8,45.9,2.6,7.1,36.3,2.7,3.4,79.4,0.8,4.5,5.3,6.4,1.4,0.3,2.6,22.6
26,Cam Thomas,Brooklyn Nets,66,31.4,22.5,8.0,18.0,44.2,2.2,6.0,36.4,4.3,5.1,85.6,0.4,2.8,3.2,2.9,0.7,0.2,1.9,16.9
27,Kyle Kuzma,Washington Wizards,70,32.6,22.2,8.7,18.8,46.3,2.2,6.4,33.6,2.7,3.4,77.5,0.9,5.7,6.6,4.2,0.5,0.7,2.7,20.7
28,Karl-Anthony Towns,Minnesota Timberwolves,62,32.7,21.8,7.7,15.3,50.4,2.2,5.3,41.6,4.1,4.7,87.3,1.5,6.8,8.3,3.0,0.7,0.7,2.9,23.4
29,Pascal Siakam,Indiana Pacers,80,33.2,21.7,8.5,15.9,53.6,1.1,3.1,34.6,3.6,5.0,73.2,1.7,5.3,7.1,4.3,0.8,0.3,1.8,23.7
30,Victor Wembanyama,San Antonio Spurs,71,29.7,21.4,7.8,16.7,46.5,1.8,5.5,32.5,4.1,5.2,79.6,2.3,8.4,10.6,3.9,1.2,3.6,3.7,27.1
31,Jamal Murray,Denver Nuggets,59,31.5,21.2,8.0,16.7,48.1,2.5,5.8,42.5,2.7,3.1,85.3,0.7,3.4,4.1,6.5,1.0,0.7,2.1,22.2
32,Alperen Sengun,Houston Rockets,63,32.5,21.1,8.4,15.6,53.7,0.5,1.8,29.7,3.9,5.6,69.3,2.9,6.4,9.3,5.0,1.2,0.7,2.6,25.9
33,Miles Bridges,Charlotte Hornets,69,37.4,21.0,8.1,17.5,46.2,2.3,6.5,34.9,2.5,3.1,82.5,1.0,6.3,7.3,3.3,0.9,0.5,2.0,21.1
34,Brandon Ingram,New Orleans Pelicans,64,32.9,20.8,7.8,15.9,49.2,1.3,3.8,35.5,3.8,4.8,80.1,0.7,4.4,5.1,5.7,0.8,0.6,2.5,21.4
35,Jimmy Butler,Miami Heat,60,34.0,20.8,6.6,13.2,49.9,1.0,2.4,41.4,6.6,7.7,85.8,1.8,3.6,5.3,5.0,1.3,0.3,1.7,23.2
36,RJ Barrett,Toronto Raptors,58,31.7,20.2,7.5,15.2,49.5,1.6,4.3,36.0,3.6,5.0,71.5,0.9,4.5,5.4,3.3,0.5,0.4,2.2,18.6
