#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Domantas Sabonis,Sacramento Kings,82,35.7,19.4,7.7,13.0,59.4,0.4,1.1,37.9,3.6,5.1,70.4,3.6,10.1,13.7,8.2,0.9,0.6,3.3,32.7
2,Rudy Gobert,Minnesota Timberwolves,76,34.1,14.0,5.3,8.1,66.1,0.0,0.0,0.0,3.3,5.1,63.8,3.8,9.2,12.9,1.3,0.7,2.1,1.6,24.9
3,Anthony Davis,Los Angeles Lakers,76,35.5,24.7,9.4,16.9,55.6,0.4,1.4,27.1,5.5,6.8,81.6,3.1,9.5,12.6,3.5,1.2,2.3,2.1,33.5
4,Nikola Jokić,Denver Nuggets,79,34.6,26.4,10.4,17.9,58.3,1.1,2.9,35.9,4.5,5.5,81.7,2.8,9.5,12.4,9.0,1.4,0.9,3.0,38.5
5,Jalen Duren,Detroit Pistons,61,29.1,13.8,5.7,9.2,61.9,0.0,0.1,0.0,2.3,3.0,79.0,3.1,8.5,11.6,2.4,0.5,0.8,2.1,22.9
6,Giannis Antetokounmpo,Milwaukee Bucks,73,35.2,30.4,11.5,18.8,61.1,0.5,1.7,27.4,7.0,10.7,65.7,2.7,8.8,11.5,6.5,1.2,1.1,3.4,36.4
7,Jusuf Nurkić,Phoenix Suns,76,27.3,10.9,4.2,8.3,51.0,0.3,1.2,24.4,2.2,3.4,64.0,2.9,8.1,11.0,4.0,1.1,1.1,2.3,20.4
8,Victor Wembanyama,San Antonio Spurs,71,29.7,21.4,7.8,16.7,46.5,1.8,5.5,32.5,4.1,5.2,79.6,2.3,8.4,10.6,3.9,1.2,3.6,3.7,27.1
9,Clint Capela,Atlanta Hawks,73,25.8,11.5,4.8,8.5,57.1,0.0,0.0,0.0,1.8,2.8,63.1,4.6,6.0,10.6,1.2,0.6,1.5,1.0,19.7
10,Nikola Vučević,Chicago Bulls,76,34.3,18.0,7.7,15.9,48.4,1.2,4.1,29.4,1.4,1.7,82.2,2.8,7.8,10.5,3.3,0.7,0.8,1.6,23.3
11,Jarrett Allen,Cleveland Cavaliers,77,31.7,16.5,6.7,10.6,63.4,0.0,0.1,0.0,3.0,4.1,74.2,3.2,7.4,10.5,2.7,0.7,1.1,1.6,25.0
12,Bam Adebayo,Miami Heat,71,34.0,19.3,7.5,14.3,52.1,0.2,0.6,35.7,4.1,5.5,75.5,2.2,8.1,10.4,3.9,1.1,0.9,2.3,25.1
13,Nic Claxton,Brooklyn Nets,71,29.8,11.8,5.2,8.2,62.9,0.0,0.1,20.0,1.5,2.8,55.1,2.7,7.2,9.9,2.1,0.6,2.1,1.3,21.0
14,Alperen Sengun,Houston Rockets,63,32.5,21.1,8.4,15.6,53.7,0.5,1.8,29.7,3.9,5.6,69.3,2.9,6.4,9.3,5.0,1.2,0.7,2.6,25.9
15,Luka Dončić,Dallas Mavericks,70,37.5,33.9,11.5,23.6,48.7,4.1,10.6,38.2,6.8,8.7,78.6,0.8,8.4,9.2,9.8,1.4,0.5,4.0,36.9
16,Ivica Zubac,Los Angeles Clippers,68,26.4,11.7,5.0,7.6,64.9,0.0,0.0,0.0,1.8,2.4,72.3,2.9,6.3,9.2,1.4,0.3,1.2,1.2,19.3
17,Andre Drummond,Chicago Bulls,79,17.1,8.4,3.4,6.1,55.6,0.0,0.0,0.0,1.6,2.8,59.2,3.4,5.6,9.0,0.5,0.9,0.6,1.0,14.5
18,Jonas Valančiūnas,New Orleans Pelicans,82,23.5,12.2,4.9,8.8,55.9,0.5,1.5,30.8,2.0,2.5,78.5,2.3,6.5,8.8,2.1,0.4,0.8,1.4,18.6
19,John Collins,Utah Jazz,68,28.0,15.1,5.8,11.0,53.2,1.3,3.4,37.1,2.2,2.7,79.5,2.3,6.1,8.5,1.1,0.6,0.9,1.4,19.0
20,Isaiah Hartenstein,New York Knicks,75,25.3,7.8,3.1,4.9,64.4,0.0,0.0,33.3,1.5,2.1,70.7,3.3,5.1,8.3,2.5,1.2,1.1,1.2,17.3
21,Josh Hart,New York Knicks,81,33.4,9.4,3.6,8.4,43.4,1.0,3.2,31.0,1.1,1.4,79.1,1.6,6.8,8.3,4.1,0.9,0.3,1.5,16.5
22,Karl-Anthony Towns,Minnesota Timberwolves,62,32.7,21.8,7.7,15.3,50.4,2.2,5.3,41.6,4.1,4.7,87.3,1.5,6.8,8.3,3.0,0.7,0.7,2.9,23.4
23,Scottie Barnes,Toronto Raptors,60,34.9,19.9,7.5,15.7,47.5,1.7,4.9,34.1,3.3,4.2,78.1,2.4,5.9,8.2,6.1,1.3,1.5,2.8,24.9
24,Jayson Tatum,Boston Celtics,74,35.7,26.9,9.1,19.3,47.1,3.1,8.2,37.6,5.6,6.7,83.3,0.9,7.2,8.1,4.9,1.0,0.6,2.5,27.6
25,Jabari Smith Jr.,Houston Rockets,76,31.9,13.7,5.0,11.0,45.4,1.8,5.0,36.3,2.0,2.4,81.1,1.8,6.3,8.1,1.6,0.7,0.8,1.2,17.3
26,Nick Richards,Charlotte Hornets,67,26.3,9.7,3.9,5.6,69.1,0.0,0.0,0.0,2.0,2.7,73.7,2.6,5.5,8.0,0.8,0.4,1.1,1.1,16.6
27,Chet Holmgren,Oklahoma City Thunder,82,29.4,16.5,6.2,11.6,53.0,1.6,4.3,37.0,2.7,3.4,79.3,1.6,6.3,7.9,2.4,0.6,2.3,1.6,22.1
28,Daniel Gafford,Dallas Mavericks,74,24.5,11.0,4.7,6.5,72.5,0.0,0.0,0.0,1.6,2.4,67.4,2.6,5.0,7.6,1.6,0.9,2.1,1.0,19.5
29,Walker Kessler,Utah Jazz,64,23.3,8.1,3.6,5.5,65.4,0.1,0.3,21.1,0.9,1.5,60.2,2.6,4.9,7.5,0.9,0.5,2.4,1.0,15.9
30,Bobby Portis,Milwaukee Bucks,82,24.5,13.8,5.7,11.2,50.8,1.2,3.0,40.7,1.2,1.5,79.0,1.7,5.7,7.4,1.3,0.8,0.4,1.1,16.8
31,Miles Bridges,Charlotte Hornets,69,37.4,21.0,8.1,17.5,46.2,2.3,6.5,34.9,2.5,3.1,82.5,1.0,6.3,7.3,3.3,0.9,0.5,2.0,21.1
32,LeBron James,Los Angeles Lakers,71,35.3,25.7,9.6,17.9,54.0,2.1,5.1,41.0,4.3,5.7,75.0,0.9,6.4,7.3,8.3,1.3,0.5,3.5,29.9
33,Deni Avdija,Washington Wizards,75,30.1,14.7,5.4,10.7,50.6,1.2,3.1,37.4,2.7,3.6,74.0,1.1,6.1,7.2,3.8,0.8,0.5,2.1,18.6
34,Pascal Siakam,Indiana Pacers,80,33.2,21.7,8.5,15.9,53.6,1.1,3.1,34.6,3.6,5.0,73.2,1.7,5.3,7.1,4.3,0.8,0.3,1.8,23.7
35,Jabari Walker,Portland Trail Blazers,72,23.6,8.9,3.3,7.1,46.0,0.6,1.9,29.5,1.8,2.4,75.4,2.1,5.0,7.1,1.0,0.6,0.3,0.9,12.5
36,Michael Porter Jr.,Denver Nuggets,81,31.7,16.7,6.4,13.3,48.4,2.7,6.8,39.7,1.1,1.4,83.6,1.3,5.7,7.0,1.5,0.5,0.7,1.1,18.2
37,Paolo Banchero,Orlando Magic,80,35.0,22.6,8.0,17.6,45.5,1.5,4.4,33.9,5.1,7.0,72.5,1.0,5.9,6.9,5.4,0.9,0.6,3.1,21.7
38,Myles Turner,Indiana Pacers,77,27.0,17.1,6.2,11.8,52.4,1.5,4.2,35.8,3.2,4.1,77.3,1.5,5.5,6.9,1.3,0.5,1.9,1.4,19.7
39,Kyle Kuzma,Washington Wizards,70,32.6,22.2,8.7,18.8,46.3,2.2,6.4,33.6,2.7,3.4,77.5,0.9,5.7,6.6,4.2,0.5,0.7,2.7,20.7
40,Kevin Durant,Phoenix Suns,75,37.2,27.1,10.0,19.1,52.3,2.2,5.4,41.3,4.8,5.6,85.6,0.5,6.1,6.6,5.0,0.9,1.2,3.3,27.7
41,Amen Thompson,Houston Rockets,62,22.4,9.5,3.9,7.2,53.6,0.1,0.9,13.8,1.7,2.5,68.4,2.4,4.2,6.6,2.6,1.3,0.6,1.5,15.1
42,Precious Achiuwa,New York Knicks,74,21.9,7.6,3.2,6.3,50.1,0.4,1.3,26.8,0.9,1.5,61.6,2.6,4.0,6.6,1.3,0.6,0.9,1.1,12.2
43,Saddiq Bey,Atlanta Hawks,63,32.7,13.7,4.6,11.1,41.6,1.8,5.7,31.6,2.7,3.2,83.7,2.7,3.9,6.5,1.5,0.8,0.2,0.9,14.8
44,Tobias Harris,Philadelphia 76ers,70,33.8,17.2,6.6,13.6,48.7,1.3,3.7,35.3,2.7,3.0,87.8,1.1,5.3,6.5,3.1,1.0,0.7,1.3,19.8
45,Aaron Gordon,Denver Nuggets,73,31.5,13.9,5.5,9.8,55.6,0.5,1.9,29.0,2.4,3.7,65.8,2.4,4.1,6.5,3.5,0.8,0.6,1.4,18.2
46,Jeremy Sochan,San Antonio Spurs,74,29.6,11.6,4.6,10.5,43.8,0.9,3.1,30.8,1.5,1.9,77.1,1.9,4.6,6.4,3.4,0.8,0.5,1.9,14.6
47,Josh Giddey,Oklahoma City Thunder,80,25.2,12.3,5.0,10.6,47.5,1.0,3.0,33.7,1.3,1.6,80.6,1.4,5.0,6.4,4.8,0.6,0.6,2.1,16.8
48,Ausar Thompson,Detroit Pistons,63,25.1,8.8,3.7,7.6,48.3,0.3,1.8,18.6,1.1,1.9,59.7,2.0,4.3,6.4,1.9,1.1,0.9,1.3,13.1
49,Day'Ron Sharpe,Brooklyn Nets,61,15.1,6.8,2.8,4.8,57.1,0.1,0.2,26.7,1.2,2.0,61.0,2.6,3.7,6.4,1.4,0.4,0.7,1.1,11.7
50,Al Horford,Boston Celtics,65,26.8,8.6,3.3,6.4,51.1,1.7,4.0,41.9,0.4,0.5,86.7,1.3,5.1,6.4,2.6,0.6,1.0,0.7,15.2
